trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,63.842,0,0.624046,0.624046,0.915958,0.624046,jodie_rnn
1,pipeline_smart,0.0,74.754,0,0.659513,0.659513,0.896948,0.659513,jodie_rnn
2,pipeline_smart,0.0,106.551,0,0.384874,0.384874,0.794397,0.659513,jodie_rnn
3,pipeline_smart,0.0,130.122,0,0.165227,0.165227,0.584292,0.659513,temporal_event_gnn_jodie
4,pipeline_smart,0.0,145.999,0,0.163866,0.163866,0.566783,0.659513,temporal_event_gnn_jodie
5,pipeline_smart,0.0,198.102,0,0.165329,0.165329,0.496748,0.659513,temporal_event_gnn_jodie
6,pipeline_smart,0.0,201.21,0,0.27333,0.27333,0.686843,0.659513,jodie_rnn
7,pipeline_smart,0.0,254.499,0,0.250907,0.250907,0.72036,0.659513,temporal_event_gnn_jodie
8,pipeline_smart,0.0,255.895,0,0.273176,0.273176,0.684342,0.659513,temporal_event_gnn_jodie
9,pipeline_smart,0.0,292.756,0,0.177569,0.177569,0.5998,0.659513,temporal_event_gnn_jodie
10,pipeline_smart,0.0,299.505,0,0.221099,0.221099,0.652326,0.659513,temporal_event_gnn_jodie
11,pipeline_smart,0.0,350.887,0,0.306751,0.306751,0.728364,0.659513,jodie_rnn
12,pipeline_smart,0.0,367.663,0,0.340983,0.340983,0.809905,0.659513,temporal_event_gnn_jodie
13,pipeline_smart,0.0,405.068,0,0.180494,0.180494,0.585293,0.659513,temporal_event_gnn_jodie
14,pipeline_smart,0.0,413.258,0,0.163988,0.163988,0.541271,0.659513,temporal_event_gnn_jodie
15,pipeline_smart,0.0,420.826,0,0.433337,0.433337,0.842421,0.659513,jodie_rnn
16,pipeline_smart,0.0,466.743,0,0.335141,0.335141,0.76088,0.659513,jodie_rnn
17,pipeline_smart,0.0,493.354,0,0.355428,0.355428,0.733367,0.659513,jodie_rnn
18,pipeline_smart,0.0,513.63,0,0.178877,0.178877,0.529265,0.659513,temporal_event_gnn_jodie
19,pipeline_smart,0.0,556.813,0,0.389338,0.389338,0.810905,0.659513,jodie_rnn
20,pipeline_smart,0.0,557.286,0,0.187942,0.187942,0.621811,0.659513,temporal_event_gnn_jodie
21,pipeline_smart,0.0,608.449,0,0.70076,0.70076,0.918959,0.70076,jodie_rnn
22,pipeline_smart,0.0,617.708,0,0.479198,0.479198,0.873937,0.70076,jodie_rnn
23,pipeline_smart,0.0,630.029,0,0.34678,0.34678,0.744372,0.70076,jodie_rnn
24,pipeline_smart,0.0,653.72,0,0.322387,0.322387,0.698349,0.70076,temporal_event_gnn_jodie
25,pipeline_smart,0.0,696.578,0,0.257552,0.257552,0.607304,0.70076,temporal_event_gnn_jodie
26,pipeline_smart,0.0,813.205,0,0.169596,0.169596,0.501251,0.70076,temporal_event_gnn_jodie
