trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,85.969,85.963,0.348738,0.348738,0.790895,0.348738,jodie_rnn
1,serial,85.975,179.077,93.102,0.209062,0.209062,0.672336,0.348738,temporal_event_gnn_jodie
2,serial,179.085,287.859,108.774,0.301169,0.301169,0.752376,0.348738,temporal_event_gnn_jodie
3,serial,287.865,436.087,148.223,0.343165,0.343165,0.754877,0.348738,jodie_rnn
4,serial,436.094,544.065,107.972,0.363682,0.363682,0.7994,0.363682,jodie_rnn
5,serial,544.071,652.893,108.822,0.483276,0.483276,0.85943,0.483276,jodie_rnn
6,serial,652.899,759.617,106.718,0.188802,0.188802,0.602301,0.483276,temporal_event_gnn_jodie
7,serial,759.622,870.154,110.531,0.184209,0.184209,0.577289,0.483276,temporal_event_gnn_jodie
8,serial,870.159,988.427,118.268,0.163661,0.163661,0.614807,0.483276,temporal_event_gnn_jodie
9,serial,988.433,1078.255,89.821,0.171324,0.171324,0.588794,0.483276,temporal_event_gnn_jodie
10,serial,1078.26,1189.981,111.722,0.126603,0.126603,0.298149,0.483276,jodie_rnn
11,serial,1189.988,1294.316,104.328,0.183611,0.183611,0.594297,0.483276,temporal_event_gnn_jodie
12,serial,1294.321,1424.397,130.076,0.351186,0.351186,0.717859,0.483276,jodie_rnn
13,serial,1424.403,1612.281,187.878,0.198435,0.198435,0.638819,0.483276,temporal_event_gnn_jodie
14,serial,1612.287,1761.556,149.269,0.557996,0.557996,0.912456,0.557996,jodie_rnn
15,serial,1761.561,1904.277,142.715,0.255325,0.255325,0.693847,0.557996,temporal_event_gnn_jodie
16,serial,1904.282,2075.314,171.032,0.183595,0.183595,0.616808,0.557996,temporal_event_gnn_jodie
17,serial,2075.32,2245.785,170.465,0.166563,0.166563,0.594797,0.557996,temporal_event_gnn_jodie
18,serial,2245.794,2401.134,155.34,0.203123,0.203123,0.622811,0.557996,temporal_event_gnn_jodie
19,serial,2401.14,2570.031,168.891,0.179584,0.179584,0.628314,0.557996,temporal_event_gnn_jodie
20,serial,2570.036,2753.996,183.96,0.282302,0.282302,0.72086,0.557996,jodie_rnn
21,serial,2754.002,2932.064,178.063,0.183851,0.183851,0.576288,0.557996,temporal_event_gnn_jodie
22,serial,2932.072,3123.308,191.236,0.191204,0.191204,0.588794,0.557996,temporal_event_gnn_jodie
23,serial,3123.316,3267.907,144.591,0.233748,0.233748,0.675338,0.557996,temporal_event_gnn_jodie
24,serial,3267.916,3447.331,179.415,0.304627,0.304627,0.74087,0.557996,jodie_rnn
25,serial,3447.336,3607.988,160.651,0.40677,0.40677,0.825413,0.557996,jodie_rnn
26,serial,3607.995,3766.173,158.178,0.619678,0.619678,0.898949,0.619678,jodie_rnn
