trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.008,563.024,563.016,0.588249,0.588249,0.897449,0.588249,jodie_rnn
1,serial,563.034,1114.299,551.265,0.694347,0.694347,0.921961,0.694347,jodie_rnn
2,serial,1114.309,1685.161,570.853,0.479681,0.479681,0.857429,0.694347,jodie_rnn
3,serial,1685.172,2201.189,516.018,0.126603,0.126603,0.298149,0.694347,jodie_rnn
4,serial,2201.196,2710.525,509.33,0.605018,0.605018,0.926463,0.694347,jodie_rnn
5,serial,2710.53,3260.441,549.91,0.440227,0.440227,0.8009,0.694347,jodie_rnn
6,serial,3260.445,3756.651,496.205,0.605349,0.605349,0.873437,0.694347,jodie_rnn
7,serial,3756.666,4273.641,516.976,0.402571,0.402571,0.753377,0.694347,jodie_rnn
8,serial,4273.647,4747.51,473.863,0.314964,0.314964,0.784892,0.694347,jodie_rnn
9,serial,4747.519,5256.326,508.807,0.627261,0.627261,0.887444,0.694347,jodie_rnn
10,serial,5256.33,5784.386,528.055,0.601166,0.601166,0.861431,0.694347,jodie_rnn
11,serial,5784.39,6282.539,498.149,0.126603,0.126603,0.298149,0.694347,jodie_rnn
12,serial,6282.545,6823.764,541.218,0.659734,0.659734,0.935968,0.694347,jodie_rnn
13,serial,6823.768,7363.252,539.484,0.301415,0.301415,0.731366,0.694347,jodie_rnn
14,serial,7363.256,7912.375,549.119,0.501011,0.501011,0.90095,0.694347,jodie_rnn
15,serial,7912.38,8404.707,492.327,0.388666,0.388666,0.81941,0.694347,jodie_rnn
16,serial,8404.712,8916.733,512.021,0.339822,0.339822,0.777389,0.694347,jodie_rnn
17,serial,8916.741,9464.417,547.677,0.442319,0.442319,0.824912,0.694347,jodie_rnn
18,serial,9464.422,9942.663,478.241,0.855541,0.855541,0.994997,0.855541,jodie_rnn
19,serial,9942.67,10430.72,488.051,0.485094,0.485094,0.850425,0.855541,jodie_rnn
20,serial,10430.727,10934.783,504.055,0.292626,0.292626,0.702351,0.855541,jodie_rnn
21,serial,10934.789,11451.679,516.889,0.344215,0.344215,0.726863,0.855541,jodie_rnn
22,serial,11451.687,11708.616,256.929,0.572538,0.572538,0.915958,0.855541,jodie_rnn
23,serial,11708.621,11852.141,143.519,0.404523,0.404523,0.804902,0.855541,jodie_rnn
24,serial,11852.145,12052.47,200.325,0.593509,0.593509,0.921961,0.855541,jodie_rnn
25,serial,12052.474,12227.706,175.231,0.390653,0.390653,0.796898,0.855541,jodie_rnn
26,serial,12227.709,12420.151,192.442,0.694867,0.694867,0.952976,0.855541,jodie_rnn
