trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.026,907.728,907.702,0.478714,0.478714,0.878439,0.478714,jodie_rnn
1,pipeline,0.026,907.728,907.702,0.354801,0.354801,0.745873,0.478714,jodie_rnn
2,pipeline,907.737,1818.568,910.831,0.236198,0.236198,0.722861,0.478714,jodie_rnn
3,pipeline,907.737,1818.568,910.831,0.126603,0.126603,0.298149,0.478714,jodie_rnn
4,pipeline,1818.574,2548.836,730.262,0.198134,0.198134,0.685843,0.478714,jodie_rnn
5,pipeline,1818.574,2548.836,730.262,0.592377,0.592377,0.930465,0.592377,jodie_rnn
6,pipeline,2548.844,3318.23,769.386,0.263576,0.263576,0.665333,0.592377,jodie_rnn
7,pipeline,2548.844,3318.23,769.386,0.517785,0.517785,0.903952,0.592377,jodie_rnn
8,pipeline,3318.237,4104.403,786.167,0.560962,0.560962,0.930465,0.592377,jodie_rnn
9,pipeline,3318.237,4104.403,786.167,0.27612,0.27612,0.72036,0.592377,jodie_rnn
10,pipeline,4104.414,4929.537,825.123,0.648521,0.648521,0.946473,0.648521,jodie_rnn
11,pipeline,4104.414,4929.537,825.123,0.126603,0.126603,0.298149,0.648521,jodie_rnn
12,pipeline,4929.551,5660.706,731.155,0.601911,0.601911,0.888444,0.648521,jodie_rnn
13,pipeline,4929.551,5660.706,731.155,0.708908,0.708908,0.932966,0.708908,jodie_rnn
14,pipeline,5660.716,6486.531,825.815,0.47913,0.47913,0.852926,0.708908,jodie_rnn
15,pipeline,5660.716,6486.531,825.815,0.686124,0.686124,0.952476,0.708908,jodie_rnn
16,pipeline,6486.542,7272.459,785.916,0.461076,0.461076,0.805403,0.708908,jodie_rnn
17,pipeline,6486.542,7272.459,785.916,0.574346,0.574346,0.958479,0.708908,jodie_rnn
18,pipeline,7272.469,8049.723,777.254,0.327652,0.327652,0.716858,0.708908,jodie_rnn
19,pipeline,7272.469,8049.723,777.254,0.720925,0.720925,0.972486,0.720925,jodie_rnn
20,pipeline,8049.733,8785.344,735.61,0.681356,0.681356,0.950475,0.720925,jodie_rnn
21,pipeline,8049.733,8785.344,735.61,0.678512,0.678512,0.914957,0.720925,jodie_rnn
22,pipeline,8785.355,9528.277,742.922,0.126603,0.126603,0.298149,0.720925,jodie_rnn
23,pipeline,8785.355,9528.277,742.922,0.430658,0.430658,0.7999,0.720925,jodie_rnn
24,pipeline,9528.286,10256.53,728.244,0.491474,0.491474,0.846923,0.720925,jodie_rnn
25,pipeline,9528.286,10256.53,728.244,0.126603,0.126603,0.298149,0.720925,jodie_rnn
26,pipeline,10256.538,10794.635,538.097,0.355555,0.355555,0.761881,0.720925,jodie_rnn
