trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.078,247.356,247.278,0.669059,0.669059,0.927464,0.669059,jodie_rnn
1,data_parallel,247.396,429.118,181.722,0.688593,0.688593,0.910455,0.688593,jodie_rnn
2,data_parallel,429.185,639.826,210.641,0.340831,0.340831,0.675338,0.688593,jodie_rnn
3,data_parallel,639.84,768.334,128.494,0.783813,0.783813,0.972486,0.783813,jodie_rnn
4,data_parallel,768.401,997.785,229.384,0.497343,0.497343,0.887444,0.783813,jodie_rnn
5,data_parallel,997.841,1179.33,181.489,0.656388,0.656388,0.906953,0.783813,jodie_rnn
6,data_parallel,1179.384,1367.46,188.076,0.602894,0.602894,0.92096,0.783813,jodie_rnn
7,data_parallel,1367.492,1613.989,246.497,0.574031,0.574031,0.881941,0.783813,jodie_rnn
8,data_parallel,1614.024,1898.679,284.655,0.119442,0.119442,0.357179,0.783813,jodie_rnn
9,data_parallel,1898.691,2211.329,312.638,0.416842,0.416842,0.804402,0.783813,jodie_rnn
10,data_parallel,2211.44,2718.639,507.199,0.373555,0.373555,0.745373,0.783813,jodie_rnn
11,data_parallel,2718.703,3119.113,400.41,0.376427,0.376427,0.732366,0.783813,jodie_rnn
12,data_parallel,3119.126,3457.158,338.033,0.5465,0.5465,0.882441,0.783813,jodie_rnn
13,data_parallel,3457.181,3810.234,353.053,0.472675,0.472675,0.88044,0.783813,jodie_rnn
14,data_parallel,3810.25,4133.3,323.05,0.408442,0.408442,0.778889,0.783813,jodie_rnn
15,data_parallel,4133.333,4476.732,343.399,0.119442,0.119442,0.357179,0.783813,jodie_rnn
16,data_parallel,4476.755,4903.441,426.686,0.492561,0.492561,0.858929,0.783813,jodie_rnn
17,data_parallel,4903.458,5184.667,281.208,0.578516,0.578516,0.915458,0.783813,jodie_rnn
18,data_parallel,5184.691,5493.666,308.975,0.768334,0.768334,0.987494,0.783813,jodie_rnn
19,data_parallel,5493.685,5847.329,353.644,0.452146,0.452146,0.843422,0.783813,jodie_rnn
20,data_parallel,5847.352,6140.828,293.476,0.766814,0.766814,0.945973,0.783813,jodie_rnn
21,data_parallel,6140.86,6388.748,247.888,0.525217,0.525217,0.883942,0.783813,jodie_rnn
22,data_parallel,6388.763,6670.391,281.628,0.119442,0.119442,0.357179,0.783813,jodie_rnn
23,data_parallel,6670.405,6976.182,305.777,0.749567,0.749567,0.949475,0.783813,jodie_rnn
24,data_parallel,6976.201,7218.253,242.052,0.662106,0.662106,0.935468,0.783813,jodie_rnn
25,data_parallel,7218.335,7594.996,376.661,0.51443,0.51443,0.869435,0.783813,jodie_rnn
26,data_parallel,7595.072,7926.29,331.218,0.444876,0.444876,0.844422,0.783813,jodie_rnn
