trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,0.0,79.095,0,0.664172,0.664172,0.921461,0.664172,jodie_rnn
1,pipeline_smart,0.0,80.128,0,0.68116,0.68116,0.944472,0.68116,jodie_rnn
2,pipeline_smart,0.0,82.08,0,0.638789,0.638789,0.886943,0.68116,jodie_rnn
3,pipeline_smart,0.0,133.252,0,0.126603,0.126603,0.298149,0.68116,jodie_rnn
4,pipeline_smart,0.0,142.501,0,0.618008,0.618008,0.953477,0.68116,jodie_rnn
5,pipeline_smart,0.0,144.41,0,0.485558,0.485558,0.889445,0.68116,jodie_rnn
6,pipeline_smart,0.0,189.278,0,0.27206,0.27206,0.736868,0.68116,jodie_rnn
7,pipeline_smart,0.0,196.604,0,0.379939,0.379939,0.814407,0.68116,jodie_rnn
8,pipeline_smart,0.0,202.165,0,0.72388,0.72388,0.952976,0.72388,jodie_rnn
9,pipeline_smart,0.0,235.343,0,0.480999,0.480999,0.857929,0.72388,jodie_rnn
10,pipeline_smart,0.0,252.333,0,0.386196,0.386196,0.808904,0.72388,jodie_rnn
11,pipeline_smart,0.0,268.556,0,0.521912,0.521912,0.916958,0.72388,jodie_rnn
12,pipeline_smart,0.0,281.718,0,0.672232,0.672232,0.952476,0.72388,jodie_rnn
13,pipeline_smart,0.0,310.787,0,0.305025,0.305025,0.709855,0.72388,jodie_rnn
14,pipeline_smart,0.0,316.676,0,0.303723,0.303723,0.78089,0.72388,jodie_rnn
15,pipeline_smart,0.0,340.764,0,0.586825,0.586825,0.918959,0.72388,jodie_rnn
16,pipeline_smart,0.0,367.518,0,0.46712,0.46712,0.864432,0.72388,jodie_rnn
17,pipeline_smart,0.0,377.239,0,0.488404,0.488404,0.889445,0.72388,jodie_rnn
18,pipeline_smart,0.0,396.719,0,0.551537,0.551537,0.88094,0.72388,jodie_rnn
19,pipeline_smart,0.0,419.059,0,0.675488,0.675488,0.932966,0.72388,jodie_rnn
20,pipeline_smart,0.0,435.432,0,0.284456,0.284456,0.706853,0.72388,jodie_rnn
21,pipeline_smart,0.0,459.129,0,0.296528,0.296528,0.723362,0.72388,jodie_rnn
22,pipeline_smart,0.0,477.412,0,0.27435,0.27435,0.707354,0.72388,jodie_rnn
23,pipeline_smart,0.0,489.338,0,0.681438,0.681438,0.914957,0.72388,jodie_rnn
24,pipeline_smart,0.0,518.852,0,0.339611,0.339611,0.725863,0.72388,jodie_rnn
25,pipeline_smart,0.0,533.113,0,0.126603,0.126603,0.298149,0.72388,jodie_rnn
26,pipeline_smart,0.0,551.153,0,0.68083,0.68083,0.923462,0.72388,jodie_rnn
