trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,7.093,66.792,59.699,0.126603,0.126603,0.298149,0.126603,jodie_rnn
1,pipeline_smart,7.063,79.603,72.54,0.497704,0.497704,0.913457,0.497704,jodie_rnn
2,pipeline_smart,7.039,91.475,84.436,0.588077,0.588077,0.894947,0.588077,jodie_rnn
3,pipeline_smart,7.105,124.771,117.666,0.36396,0.36396,0.787394,0.588077,jodie_rnn
4,pipeline_smart,79.634,149.945,70.311,0.494569,0.494569,0.895448,0.588077,jodie_rnn
5,pipeline_smart,91.504,177.608,86.104,0.659388,0.659388,0.969985,0.659388,jodie_rnn
6,pipeline_smart,124.795,184.997,60.202,0.716728,0.716728,0.956978,0.716728,jodie_rnn
7,pipeline_smart,149.975,217.824,67.85,0.671803,0.671803,0.93997,0.716728,jodie_rnn
8,pipeline_smart,185.014,228.651,43.637,0.816057,0.816057,0.988494,0.816057,jodie_rnn
9,pipeline_smart,177.631,259.752,82.121,0.280985,0.280985,0.686343,0.816057,jodie_rnn
10,pipeline_smart,217.853,270.785,52.931,0.343226,0.343226,0.811406,0.816057,jodie_rnn
11,pipeline_smart,228.664,284.578,55.914,0.281002,0.281002,0.690845,0.816057,jodie_rnn
12,pipeline_smart,270.797,322.243,51.446,0.633753,0.633753,0.936468,0.816057,jodie_rnn
13,pipeline_smart,284.598,332.771,48.173,0.513963,0.513963,0.878939,0.816057,jodie_rnn
14,pipeline_smart,259.777,345.04,85.263,0.491934,0.491934,0.917459,0.816057,jodie_rnn
15,pipeline_smart,332.787,383.336,50.549,0.684949,0.684949,0.928464,0.816057,jodie_rnn
16,pipeline_smart,322.256,392.525,70.269,0.381652,0.381652,0.837419,0.816057,jodie_rnn
17,pipeline_smart,345.058,436.658,91.6,0.561346,0.561346,0.886943,0.816057,jodie_rnn
18,pipeline_smart,383.4,445.757,62.357,0.352627,0.352627,0.750875,0.816057,jodie_rnn
19,pipeline_smart,392.541,458.928,66.387,0.663475,0.663475,0.893447,0.816057,jodie_rnn
20,pipeline_smart,445.774,501.913,56.139,0.126603,0.126603,0.298149,0.816057,jodie_rnn
21,pipeline_smart,458.972,504.071,45.1,0.690757,0.690757,0.963482,0.816057,jodie_rnn
22,pipeline_smart,436.669,510.264,73.594,0.663273,0.663273,0.902451,0.816057,jodie_rnn
23,pipeline_smart,501.965,555.838,53.873,0.288842,0.288842,0.692846,0.816057,jodie_rnn
24,pipeline_smart,504.138,557.727,53.589,0.323148,0.323148,0.791896,0.816057,jodie_rnn
25,pipeline_smart,510.325,599.442,89.117,0.527118,0.527118,0.881941,0.816057,jodie_rnn
26,pipeline_smart,555.935,621.202,65.267,0.640307,0.640307,0.896448,0.816057,jodie_rnn
