trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.005,125.159,125.154,0.266948,0.266948,0.697349,0.266948,jodie_rnn
1,serial,125.164,253.732,128.568,0.333756,0.333756,0.744372,0.333756,jodie_rnn
2,serial,253.736,382.291,128.555,0.323689,0.323689,0.71986,0.333756,jodie_rnn
3,serial,382.295,505.336,123.041,0.126603,0.126603,0.298149,0.333756,jodie_rnn
4,serial,505.34,636.987,131.647,0.310231,0.310231,0.741371,0.333756,jodie_rnn
5,serial,636.991,727.888,90.896,0.301656,0.301656,0.778889,0.333756,jodie_rnn
6,serial,727.892,832.892,105.001,0.126603,0.126603,0.298149,0.333756,jodie_rnn
7,serial,832.896,937.95,105.054,0.497936,0.497936,0.875438,0.497936,jodie_rnn
8,serial,937.955,1106.837,168.883,0.60962,0.60962,0.937969,0.60962,jodie_rnn
9,serial,1106.842,1273.493,166.651,0.533397,0.533397,0.901451,0.60962,jodie_rnn
10,serial,1273.496,1383.955,110.459,0.292331,0.292331,0.684842,0.60962,jodie_rnn
11,serial,1383.958,1503.942,119.984,0.590172,0.590172,0.872936,0.60962,jodie_rnn
12,serial,1503.947,1668.123,164.177,0.535317,0.535317,0.897449,0.60962,jodie_rnn
13,serial,1668.127,1816.788,148.661,0.352894,0.352894,0.778389,0.60962,jodie_rnn
14,serial,1816.796,1927.745,110.949,0.297334,0.297334,0.718359,0.60962,jodie_rnn
15,serial,1927.749,2032.126,104.377,0.686066,0.686066,0.977489,0.686066,jodie_rnn
16,serial,2032.136,2144.014,111.878,0.295686,0.295686,0.748374,0.686066,jodie_rnn
17,serial,2144.018,2291.926,147.908,0.300602,0.300602,0.717359,0.686066,jodie_rnn
18,serial,2291.933,2443.564,151.631,0.518648,0.518648,0.872436,0.686066,jodie_rnn
19,serial,2443.572,2572.817,129.245,0.341306,0.341306,0.738869,0.686066,jodie_rnn
20,serial,2572.822,2698.161,125.339,0.261006,0.261006,0.662331,0.686066,jodie_rnn
21,serial,2698.166,2864.759,166.593,0.684776,0.684776,0.951976,0.686066,jodie_rnn
22,serial,2864.768,2977.581,112.814,0.4295,0.4295,0.816908,0.686066,jodie_rnn
23,serial,2977.586,3066.984,89.398,0.395736,0.395736,0.818409,0.686066,jodie_rnn
24,serial,3066.987,3201.938,134.951,0.295386,0.295386,0.755378,0.686066,jodie_rnn
25,serial,3201.942,3361.007,159.065,0.563792,0.563792,0.893447,0.686066,jodie_rnn
26,serial,3361.014,3470.714,109.7,0.126603,0.126603,0.298149,0.686066,jodie_rnn
27,serial,3470.722,3639.143,168.422,0.611767,0.611767,0.901451,0.686066,jodie_rnn
28,serial,3639.148,3734.125,94.978,0.305679,0.305679,0.785893,0.686066,jodie_rnn
29,serial,3734.129,3858.414,124.285,0.126603,0.126603,0.298149,0.686066,jodie_rnn
30,serial,3858.418,4012.473,154.055,0.737048,0.737048,0.975988,0.737048,jodie_rnn
31,serial,4012.479,4137.692,125.213,0.586534,0.586534,0.886943,0.737048,jodie_rnn
32,serial,4137.7,4229.246,91.547,0.416111,0.416111,0.830415,0.737048,jodie_rnn
33,serial,4229.252,4358.674,129.422,0.592689,0.592689,0.909955,0.737048,jodie_rnn
34,serial,4358.682,4515.624,156.941,0.399547,0.399547,0.786393,0.737048,jodie_rnn
35,serial,4515.628,4603.701,88.073,0.373941,0.373941,0.830415,0.737048,jodie_rnn
36,serial,4603.705,4714.257,110.553,0.67248,0.67248,0.928964,0.737048,jodie_rnn
37,serial,4714.261,4824.855,110.594,0.321321,0.321321,0.764382,0.737048,jodie_rnn
38,serial,4824.862,5022.9,198.039,0.283275,0.283275,0.728364,0.737048,jodie_rnn
39,serial,5022.907,5320.43,297.523,0.385188,0.385188,0.814907,0.737048,jodie_rnn
40,serial,5320.434,5701.801,381.367,0.440286,0.440286,0.814907,0.737048,jodie_rnn
41,serial,5701.807,6061.261,359.455,0.403088,0.403088,0.831416,0.737048,jodie_rnn
42,serial,6061.267,6377.201,315.935,0.421833,0.421833,0.783892,0.737048,jodie_rnn
43,serial,6377.208,6669.869,292.661,0.400376,0.400376,0.818909,0.737048,jodie_rnn
44,serial,6669.885,6940.794,270.909,0.810255,0.810255,0.98099,0.810255,jodie_rnn
45,serial,6940.8,7298.433,357.632,0.708234,0.708234,0.924462,0.810255,jodie_rnn
46,serial,7298.437,7572.061,273.624,0.392766,0.392766,0.770885,0.810255,jodie_rnn
47,serial,7572.071,7953.477,381.406,0.611363,0.611363,0.966483,0.810255,jodie_rnn
48,serial,7953.483,8260.261,306.779,0.126603,0.126603,0.298149,0.810255,jodie_rnn
49,serial,8260.265,8610.888,350.622,0.467018,0.467018,0.910955,0.810255,jodie_rnn
