trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.006,180.863,180.856,0.199486,0.199486,0.675338,0.199486,jodie_rnn
1,pipeline,0.006,180.863,180.856,0.126603,0.126603,0.298149,0.199486,jodie_rnn
2,pipeline,180.871,364.186,183.314,0.373108,0.373108,0.733867,0.373108,jodie_rnn
3,pipeline,180.871,364.186,183.314,0.225624,0.225624,0.703852,0.373108,jodie_rnn
4,pipeline,364.192,554.314,190.121,0.298887,0.298887,0.703852,0.373108,jodie_rnn
5,pipeline,364.192,554.314,190.121,0.126603,0.126603,0.298149,0.373108,jodie_rnn
6,pipeline,554.322,757.587,203.264,0.679053,0.679053,0.947974,0.679053,jodie_rnn
7,pipeline,554.322,757.587,203.264,0.508222,0.508222,0.875938,0.679053,jodie_rnn
8,pipeline,757.597,995.864,238.267,0.405336,0.405336,0.763882,0.679053,jodie_rnn
9,pipeline,757.597,995.864,238.267,0.67807,0.67807,0.958979,0.679053,jodie_rnn
10,pipeline,995.872,1203.507,207.634,0.237918,0.237918,0.698349,0.679053,jodie_rnn
11,pipeline,995.872,1203.507,207.634,0.661026,0.661026,0.943972,0.679053,jodie_rnn
12,pipeline,1203.517,1384.922,181.406,0.265785,0.265785,0.714857,0.679053,jodie_rnn
13,pipeline,1203.517,1384.922,181.406,0.305548,0.305548,0.703852,0.679053,jodie_rnn
14,pipeline,1384.935,1608.184,223.249,0.479445,0.479445,0.841921,0.679053,jodie_rnn
15,pipeline,1384.935,1608.184,223.249,0.307211,0.307211,0.716858,0.679053,jodie_rnn
16,pipeline,1608.196,1821.831,213.635,0.644568,0.644568,0.942471,0.679053,jodie_rnn
17,pipeline,1608.196,1821.831,213.635,0.737953,0.737953,0.931466,0.737953,jodie_rnn
18,pipeline,1821.839,2043.295,221.456,0.207251,0.207251,0.712356,0.737953,jodie_rnn
19,pipeline,1821.839,2043.295,221.456,0.440968,0.440968,0.813407,0.737953,jodie_rnn
20,pipeline,2043.313,2265.035,221.722,0.705035,0.705035,0.961481,0.737953,jodie_rnn
21,pipeline,2043.313,2265.035,221.722,0.430258,0.430258,0.801901,0.737953,jodie_rnn
22,pipeline,2265.045,2466.218,201.172,0.337348,0.337348,0.755378,0.737953,jodie_rnn
23,pipeline,2265.045,2466.218,201.172,0.126603,0.126603,0.298149,0.737953,jodie_rnn
24,pipeline,2466.224,2611.467,145.242,0.45822,0.45822,0.856428,0.737953,jodie_rnn
25,pipeline,2466.224,2611.467,145.242,0.650961,0.650961,0.935468,0.737953,jodie_rnn
26,pipeline,2611.481,2788.256,176.775,0.265194,0.265194,0.70035,0.737953,jodie_rnn
27,pipeline,2611.481,2788.256,176.775,0.273108,0.273108,0.638819,0.737953,jodie_rnn
28,pipeline,2788.269,3005.553,217.284,0.311919,0.311919,0.683842,0.737953,jodie_rnn
29,pipeline,2788.269,3005.553,217.284,0.586953,0.586953,0.916958,0.737953,jodie_rnn
30,pipeline,3005.562,3211.342,205.78,0.563407,0.563407,0.895448,0.737953,jodie_rnn
31,pipeline,3005.562,3211.342,205.78,0.342641,0.342641,0.724862,0.737953,jodie_rnn
32,pipeline,3211.354,3413.933,202.579,0.277783,0.277783,0.67934,0.737953,jodie_rnn
33,pipeline,3211.354,3413.933,202.579,0.629402,0.629402,0.903952,0.737953,jodie_rnn
34,pipeline,3413.961,3619.996,206.035,0.519224,0.519224,0.877439,0.737953,jodie_rnn
35,pipeline,3413.961,3619.996,206.035,0.126603,0.126603,0.298149,0.737953,jodie_rnn
36,pipeline,3620.016,3782.997,162.982,0.343316,0.343316,0.74087,0.737953,jodie_rnn
37,pipeline,3620.016,3782.997,162.982,0.337853,0.337853,0.725863,0.737953,jodie_rnn
38,pipeline,3783.023,3981.986,198.963,0.362399,0.362399,0.754377,0.737953,jodie_rnn
39,pipeline,3783.023,3981.986,198.963,0.588868,0.588868,0.949475,0.737953,jodie_rnn
40,pipeline,3982.002,4194.241,212.238,0.513952,0.513952,0.895948,0.737953,jodie_rnn
41,pipeline,3982.002,4194.241,212.238,0.26382,0.26382,0.665333,0.737953,jodie_rnn
42,pipeline,4194.263,4387.303,193.04,0.282188,0.282188,0.682341,0.737953,jodie_rnn
43,pipeline,4194.263,4387.303,193.04,0.210443,0.210443,0.684842,0.737953,jodie_rnn
44,pipeline,4387.33,4630.109,242.779,0.468772,0.468772,0.883442,0.737953,jodie_rnn
45,pipeline,4387.33,4630.109,242.779,0.644368,0.644368,0.922461,0.737953,jodie_rnn
46,pipeline,4630.157,4792.259,162.101,0.604861,0.604861,0.92096,0.737953,jodie_rnn
47,pipeline,4630.157,4792.259,162.101,0.126603,0.126603,0.298149,0.737953,jodie_rnn
48,pipeline,4792.286,4961.32,169.034,0.667354,0.667354,0.917959,0.737953,jodie_rnn
49,pipeline,4792.286,4961.32,169.034,0.219557,0.219557,0.707354,0.737953,jodie_rnn
