trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.006,197.081,197.075,0.209773,0.209773,0.693847,0.209773,jodie_rnn
1,pipeline,0.006,197.081,197.075,0.126603,0.126603,0.298149,0.209773,jodie_rnn
2,pipeline,197.09,393.975,196.885,0.371948,0.371948,0.722861,0.371948,jodie_rnn
3,pipeline,197.09,393.975,196.885,0.222493,0.222493,0.702351,0.371948,jodie_rnn
4,pipeline,393.982,604.062,210.08,0.298862,0.298862,0.703852,0.371948,jodie_rnn
5,pipeline,393.982,604.062,210.08,0.126603,0.126603,0.298149,0.371948,jodie_rnn
6,pipeline,604.068,830.456,226.388,0.696328,0.696328,0.943472,0.696328,jodie_rnn
7,pipeline,604.068,830.456,226.388,0.544107,0.544107,0.874437,0.696328,jodie_rnn
8,pipeline,830.468,1089.498,259.03,0.407172,0.407172,0.761381,0.696328,jodie_rnn
9,pipeline,830.468,1089.498,259.03,0.663925,0.663925,0.949475,0.696328,jodie_rnn
10,pipeline,1089.505,1314.081,224.576,0.228295,0.228295,0.717359,0.696328,jodie_rnn
11,pipeline,1089.505,1314.081,224.576,0.656413,0.656413,0.934467,0.696328,jodie_rnn
12,pipeline,1314.092,1507.815,193.724,0.265785,0.265785,0.714857,0.696328,jodie_rnn
13,pipeline,1314.092,1507.815,193.724,0.305531,0.305531,0.703852,0.696328,jodie_rnn
14,pipeline,1507.827,1747.784,239.957,0.476461,0.476461,0.845923,0.696328,jodie_rnn
15,pipeline,1507.827,1747.784,239.957,0.310324,0.310324,0.72036,0.696328,jodie_rnn
16,pipeline,1747.795,1975.533,227.737,0.668615,0.668615,0.93947,0.696328,jodie_rnn
17,pipeline,1747.795,1975.533,227.737,0.712639,0.712639,0.934467,0.712639,jodie_rnn
18,pipeline,1975.542,2214.834,239.292,0.204941,0.204941,0.702851,0.712639,jodie_rnn
19,pipeline,1975.542,2214.834,239.292,0.433146,0.433146,0.830415,0.712639,jodie_rnn
20,pipeline,2214.849,2455.72,240.871,0.714721,0.714721,0.963982,0.714721,jodie_rnn
21,pipeline,2214.849,2455.72,240.871,0.40001,0.40001,0.804902,0.714721,jodie_rnn
22,pipeline,2455.732,2676.925,221.192,0.339595,0.339595,0.756878,0.714721,jodie_rnn
23,pipeline,2455.732,2676.925,221.192,0.126603,0.126603,0.298149,0.714721,jodie_rnn
24,pipeline,2676.933,2837.755,160.822,0.458296,0.458296,0.855928,0.714721,jodie_rnn
25,pipeline,2676.933,2837.755,160.822,0.650711,0.650711,0.935468,0.714721,jodie_rnn
26,pipeline,2837.762,3027.049,189.287,0.265194,0.265194,0.70035,0.714721,jodie_rnn
27,pipeline,2837.762,3027.049,189.287,0.273108,0.273108,0.638819,0.714721,jodie_rnn
28,pipeline,3027.067,3257.376,230.309,0.311919,0.311919,0.683842,0.714721,jodie_rnn
29,pipeline,3027.067,3257.376,230.309,0.566183,0.566183,0.901951,0.714721,jodie_rnn
30,pipeline,3257.39,3477.893,220.503,0.552204,0.552204,0.890445,0.714721,jodie_rnn
31,pipeline,3257.39,3477.893,220.503,0.342641,0.342641,0.724862,0.714721,jodie_rnn
32,pipeline,3477.906,3697.513,219.607,0.27708,0.27708,0.67934,0.714721,jodie_rnn
33,pipeline,3477.906,3697.513,219.607,0.644789,0.644789,0.911456,0.714721,jodie_rnn
34,pipeline,3697.542,3924.338,226.796,0.527028,0.527028,0.893947,0.714721,jodie_rnn
35,pipeline,3697.542,3924.338,226.796,0.126603,0.126603,0.298149,0.714721,jodie_rnn
36,pipeline,3924.356,4104.662,180.306,0.344824,0.344824,0.738869,0.714721,jodie_rnn
37,pipeline,3924.356,4104.662,180.306,0.340619,0.340619,0.728864,0.714721,jodie_rnn
38,pipeline,4104.69,4316.489,211.8,0.36231,0.36231,0.754377,0.714721,jodie_rnn
39,pipeline,4104.69,4316.489,211.8,0.618585,0.618585,0.945473,0.714721,jodie_rnn
40,pipeline,4316.506,4550.496,233.99,0.506344,0.506344,0.891946,0.714721,jodie_rnn
41,pipeline,4316.506,4550.496,233.99,0.26382,0.26382,0.665333,0.714721,jodie_rnn
42,pipeline,4550.517,4768.464,217.947,0.282171,0.282171,0.682341,0.714721,jodie_rnn
43,pipeline,4550.517,4768.464,217.947,0.200974,0.200974,0.693347,0.714721,jodie_rnn
44,pipeline,4768.49,5042.551,274.061,0.479869,0.479869,0.902451,0.714721,jodie_rnn
45,pipeline,4768.49,5042.551,274.061,0.654291,0.654291,0.927464,0.714721,jodie_rnn
46,pipeline,5042.606,5225.483,182.877,0.605309,0.605309,0.921461,0.714721,jodie_rnn
47,pipeline,5042.606,5225.483,182.877,0.126603,0.126603,0.298149,0.714721,jodie_rnn
48,pipeline,5225.501,5419.718,194.217,0.689702,0.689702,0.917959,0.714721,jodie_rnn
49,pipeline,5225.501,5419.718,194.217,0.248001,0.248001,0.71986,0.714721,jodie_rnn
