trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.052,188.003,187.952,0.511638,0.511638,0.848924,0.511638,jodie_rnn
1,data_parallel,188.019,341.004,152.985,0.31401,0.31401,0.665833,0.511638,jodie_rnn
2,data_parallel,341.015,490.318,149.303,0.412108,0.412108,0.782891,0.511638,jodie_rnn
3,data_parallel,490.344,777.859,287.515,0.36104,0.36104,0.745373,0.511638,jodie_rnn
4,data_parallel,777.887,986.212,208.325,0.520366,0.520366,0.877439,0.520366,jodie_rnn
5,data_parallel,986.222,1130.646,144.424,0.119442,0.119442,0.357179,0.520366,jodie_rnn
6,data_parallel,1130.669,1454.393,323.724,0.600014,0.600014,0.902451,0.600014,jodie_rnn
7,data_parallel,1454.418,1815.938,361.52,0.496385,0.496385,0.848424,0.600014,jodie_rnn
8,data_parallel,1815.978,2197.9,381.922,0.830779,0.830779,0.98049,0.830779,jodie_rnn
9,data_parallel,2197.916,2572.229,374.313,0.506261,0.506261,0.890945,0.830779,jodie_rnn
10,data_parallel,2572.239,2936.574,364.335,0.451454,0.451454,0.804402,0.830779,jodie_rnn
11,data_parallel,2936.584,3294.16,357.576,0.569479,0.569479,0.909455,0.830779,jodie_rnn
12,data_parallel,3294.177,3669.263,375.086,0.390728,0.390728,0.731366,0.830779,jodie_rnn
13,data_parallel,3669.306,4081.95,412.644,0.554824,0.554824,0.875938,0.830779,jodie_rnn
14,data_parallel,4081.998,4448.66,366.661,0.544281,0.544281,0.878439,0.830779,jodie_rnn
15,data_parallel,4448.702,4829.042,380.34,0.119442,0.119442,0.357179,0.830779,jodie_rnn
16,data_parallel,4829.057,5173.281,344.224,0.306776,0.306776,0.691346,0.830779,jodie_rnn
17,data_parallel,5173.307,5566.179,392.871,0.732794,0.732794,0.947474,0.830779,jodie_rnn
18,data_parallel,5566.195,5905.863,339.667,0.55501,0.55501,0.89995,0.830779,jodie_rnn
19,data_parallel,5905.884,6269.483,363.599,0.511043,0.511043,0.854927,0.830779,jodie_rnn
20,data_parallel,6269.505,6602.335,332.83,0.377361,0.377361,0.830415,0.830779,jodie_rnn
21,data_parallel,6602.348,6983.111,380.763,0.641826,0.641826,0.892446,0.830779,jodie_rnn
22,data_parallel,6983.131,7364.775,381.644,0.533027,0.533027,0.882941,0.830779,jodie_rnn
23,data_parallel,7364.789,7741.347,376.558,0.34834,0.34834,0.73987,0.830779,jodie_rnn
24,data_parallel,7741.361,8111.299,369.938,0.397339,0.397339,0.816408,0.830779,jodie_rnn
25,data_parallel,8111.317,8484.865,373.547,0.458753,0.458753,0.890945,0.830779,jodie_rnn
26,data_parallel,8484.883,8858.978,374.096,0.741682,0.741682,0.946473,0.830779,jodie_rnn
