trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.008,529.416,529.407,0.199486,0.199486,0.675338,0.199486,jodie_rnn
1,pipeline,0.008,529.416,529.407,0.126603,0.126603,0.298149,0.199486,jodie_rnn
2,pipeline,529.425,1068.263,538.838,0.373108,0.373108,0.733867,0.373108,jodie_rnn
3,pipeline,529.425,1068.263,538.838,0.225624,0.225624,0.703852,0.373108,jodie_rnn
4,pipeline,1068.27,1599.186,530.916,0.298887,0.298887,0.703852,0.373108,jodie_rnn
5,pipeline,1068.27,1599.186,530.916,0.126603,0.126603,0.298149,0.373108,jodie_rnn
6,pipeline,1599.193,2136.264,537.071,0.679053,0.679053,0.947974,0.679053,jodie_rnn
7,pipeline,1599.193,2136.264,537.071,0.508222,0.508222,0.875938,0.679053,jodie_rnn
8,pipeline,2136.276,2710.819,574.543,0.405336,0.405336,0.763882,0.679053,jodie_rnn
9,pipeline,2136.276,2710.819,574.543,0.67807,0.67807,0.958979,0.679053,jodie_rnn
10,pipeline,2710.828,3244.455,533.626,0.237918,0.237918,0.698349,0.679053,jodie_rnn
11,pipeline,2710.828,3244.455,533.626,0.661026,0.661026,0.943972,0.679053,jodie_rnn
12,pipeline,3244.462,3746.015,501.553,0.265785,0.265785,0.714857,0.679053,jodie_rnn
13,pipeline,3244.462,3746.015,501.553,0.305548,0.305548,0.703852,0.679053,jodie_rnn
14,pipeline,3746.025,4320.559,574.534,0.479445,0.479445,0.841921,0.679053,jodie_rnn
15,pipeline,3746.025,4320.559,574.534,0.307211,0.307211,0.716858,0.679053,jodie_rnn
16,pipeline,4320.569,4867.638,547.069,0.644568,0.644568,0.942471,0.679053,jodie_rnn
17,pipeline,4320.569,4867.638,547.069,0.737953,0.737953,0.931466,0.737953,jodie_rnn
18,pipeline,4867.644,5438.43,570.787,0.207251,0.207251,0.712356,0.737953,jodie_rnn
19,pipeline,4867.644,5438.43,570.787,0.440968,0.440968,0.813407,0.737953,jodie_rnn
20,pipeline,5438.441,5992.003,553.562,0.705035,0.705035,0.961481,0.737953,jodie_rnn
21,pipeline,5438.441,5992.003,553.562,0.430258,0.430258,0.801901,0.737953,jodie_rnn
22,pipeline,5992.018,6519.351,527.333,0.337348,0.337348,0.755378,0.737953,jodie_rnn
23,pipeline,5992.018,6519.351,527.333,0.126603,0.126603,0.298149,0.737953,jodie_rnn
24,pipeline,6519.356,6989.833,470.477,0.45822,0.45822,0.856428,0.737953,jodie_rnn
25,pipeline,6519.356,6989.833,470.477,0.650961,0.650961,0.935468,0.737953,jodie_rnn
26,pipeline,6989.838,7324.409,334.571,0.257253,0.257253,0.698349,0.737953,jodie_rnn
