trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,6.822,59.672,52.85,0.281187,0.281187,0.698349,0.281187,jodie_rnn
1,pipeline_smart,6.813,62.526,55.713,0.342338,0.342338,0.732866,0.342338,jodie_rnn
2,pipeline_smart,6.825,75.234,68.409,0.366304,0.366304,0.774387,0.366304,jodie_rnn
3,pipeline_smart,6.834,114.418,107.584,0.699155,0.699155,0.902951,0.699155,jodie_rnn
4,pipeline_smart,75.258,114.577,39.319,0.410443,0.410443,0.837419,0.699155,jodie_rnn
5,pipeline_smart,62.541,119.155,56.614,0.363324,0.363324,0.606803,0.699155,jodie_rnn
6,pipeline_smart,114.617,149.834,35.218,0.314456,0.314456,0.778389,0.699155,jodie_rnn
7,pipeline_smart,119.173,158.923,39.75,0.664455,0.664455,0.924462,0.699155,jodie_rnn
8,pipeline_smart,114.477,161.811,47.334,0.286769,0.286769,0.703852,0.699155,jodie_rnn
9,pipeline_smart,149.879,201.694,51.814,0.376504,0.376504,0.763882,0.699155,jodie_rnn
10,pipeline_smart,158.944,206.785,47.841,0.315547,0.315547,0.766883,0.699155,jodie_rnn
11,pipeline_smart,161.822,217.295,55.473,0.61275,0.61275,0.92096,0.699155,jodie_rnn
12,pipeline_smart,201.717,263.017,61.3,0.53744,0.53744,0.85943,0.699155,jodie_rnn
13,pipeline_smart,206.825,263.572,56.747,0.527208,0.527208,0.888444,0.699155,jodie_rnn
14,pipeline_smart,217.312,274.122,56.809,0.467894,0.467894,0.858429,0.699155,jodie_rnn
15,pipeline_smart,263.028,307.807,44.78,0.57912,0.57912,0.872436,0.699155,jodie_rnn
16,pipeline_smart,263.608,309.047,45.438,0.126603,0.126603,0.298149,0.699155,jodie_rnn
17,pipeline_smart,274.14,319.231,45.091,0.126603,0.126603,0.298149,0.699155,jodie_rnn
18,pipeline_smart,307.852,363.313,55.461,0.384726,0.384726,0.761881,0.699155,jodie_rnn
19,pipeline_smart,309.088,369.588,60.5,0.660422,0.660422,0.928964,0.699155,jodie_rnn
20,pipeline_smart,319.265,372.307,53.042,0.317108,0.317108,0.754877,0.699155,jodie_rnn
21,pipeline_smart,363.334,399.009,35.675,0.295817,0.295817,0.782391,0.699155,jodie_rnn
22,pipeline_smart,372.313,403.968,31.655,0.48291,0.48291,0.850925,0.699155,jodie_rnn
23,pipeline_smart,369.623,426.48,56.857,0.462412,0.462412,0.842421,0.699155,jodie_rnn
24,pipeline_smart,403.988,456.947,52.959,0.319571,0.319571,0.70035,0.699155,jodie_rnn
25,pipeline_smart,399.038,458.861,59.824,0.624745,0.624745,0.908454,0.699155,jodie_rnn
26,pipeline_smart,426.546,489.512,62.965,0.626222,0.626222,0.937969,0.699155,jodie_rnn
