trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.006,144.418,144.412,0.266948,0.266948,0.697349,0.266948,jodie_rnn
1,serial,144.424,280.528,136.104,0.333756,0.333756,0.744372,0.333756,jodie_rnn
2,serial,280.532,418.029,137.497,0.323689,0.323689,0.71986,0.333756,jodie_rnn
3,serial,418.034,554.865,136.831,0.126603,0.126603,0.298149,0.333756,jodie_rnn
4,serial,554.87,691.608,136.738,0.310231,0.310231,0.741371,0.333756,jodie_rnn
5,serial,691.613,785.027,93.414,0.301656,0.301656,0.778889,0.333756,jodie_rnn
6,serial,785.032,893.666,108.634,0.126603,0.126603,0.298149,0.333756,jodie_rnn
7,serial,893.67,998.928,105.258,0.497936,0.497936,0.875438,0.497936,jodie_rnn
8,serial,998.932,1165.058,166.126,0.60962,0.60962,0.937969,0.60962,jodie_rnn
9,serial,1165.062,1321.825,156.763,0.533397,0.533397,0.901451,0.60962,jodie_rnn
10,serial,1321.832,1433.741,111.909,0.292331,0.292331,0.684842,0.60962,jodie_rnn
11,serial,1433.747,1560.766,127.02,0.590172,0.590172,0.872936,0.60962,jodie_rnn
12,serial,1560.772,1723.719,162.947,0.535317,0.535317,0.897449,0.60962,jodie_rnn
13,serial,1723.724,1873.504,149.78,0.352894,0.352894,0.778389,0.60962,jodie_rnn
14,serial,1873.512,1994.524,121.012,0.297334,0.297334,0.718359,0.60962,jodie_rnn
15,serial,1994.528,2103.965,109.437,0.686066,0.686066,0.977489,0.686066,jodie_rnn
16,serial,2103.975,2222.562,118.586,0.295686,0.295686,0.748374,0.686066,jodie_rnn
17,serial,2222.567,2372.475,149.907,0.300602,0.300602,0.717359,0.686066,jodie_rnn
18,serial,2372.483,2526.779,154.296,0.518648,0.518648,0.872436,0.686066,jodie_rnn
19,serial,2526.789,2654.646,127.858,0.341306,0.341306,0.738869,0.686066,jodie_rnn
20,serial,2654.651,2786.163,131.512,0.261006,0.261006,0.662331,0.686066,jodie_rnn
21,serial,2786.168,2953.781,167.613,0.684776,0.684776,0.951976,0.686066,jodie_rnn
22,serial,2953.79,3067.534,113.745,0.4295,0.4295,0.816908,0.686066,jodie_rnn
23,serial,3067.54,3152.124,84.584,0.395736,0.395736,0.818409,0.686066,jodie_rnn
24,serial,3152.128,3272.774,120.646,0.295386,0.295386,0.755378,0.686066,jodie_rnn
25,serial,3272.779,3427.427,154.648,0.563792,0.563792,0.893447,0.686066,jodie_rnn
26,serial,3427.436,3538.36,110.924,0.126603,0.126603,0.298149,0.686066,jodie_rnn
