trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
13,data_parallel,2215.81,2423.067,207.257,0.5454,0.5454,0.875938,0.837507,jodie_rnn
0,data_parallel,0.039,149.155,149.117,0.48645,0.48645,0.843422,0.48645,jodie_rnn
1,data_parallel,149.173,259.294,110.121,0.313437,0.313437,0.675838,0.48645,jodie_rnn
14,data_parallel,2423.102,2577.929,154.827,0.529182,0.529182,0.868934,0.837507,jodie_rnn
2,data_parallel,259.306,364.427,105.121,0.414291,0.414291,0.776388,0.48645,jodie_rnn
15,data_parallel,2577.971,2759.759,181.788,0.119442,0.119442,0.357179,0.837507,jodie_rnn
3,data_parallel,364.452,499.289,134.838,0.361516,0.361516,0.74087,0.48645,jodie_rnn
16,data_parallel,2759.78,2874.284,114.504,0.303097,0.303097,0.681841,0.837507,jodie_rnn
4,data_parallel,499.317,666.266,166.95,0.554068,0.554068,0.887944,0.554068,jodie_rnn
17,data_parallel,2874.313,3041.818,167.506,0.733297,0.733297,0.950975,0.837507,jodie_rnn
5,data_parallel,666.277,767.728,101.452,0.119442,0.119442,0.357179,0.554068,jodie_rnn
18,data_parallel,3041.838,3149.53,107.693,0.546732,0.546732,0.895448,0.837507,jodie_rnn
6,data_parallel,767.752,913.341,145.589,0.625377,0.625377,0.904952,0.625377,jodie_rnn
19,data_parallel,3149.598,3282.654,133.055,0.510361,0.510361,0.855428,0.837507,jodie_rnn
7,data_parallel,913.369,1034.05,120.68,0.496348,0.496348,0.848924,0.625377,jodie_rnn
20,data_parallel,3282.668,3396.005,113.337,0.373269,0.373269,0.831916,0.837507,jodie_rnn
8,data_parallel,1034.099,1180.419,146.32,0.841721,0.841721,0.98099,0.841721,jodie_rnn
21,data_parallel,3396.03,3526.285,130.254,0.615864,0.615864,0.887444,0.837507,jodie_rnn
9,data_parallel,1180.437,1297.388,116.951,0.516357,0.516357,0.885443,0.841721,jodie_rnn
22,data_parallel,3526.308,3659.807,133.499,0.503822,0.503822,0.870935,0.837507,jodie_rnn
10,data_parallel,1297.4,1418.918,121.518,0.487494,0.487494,0.830415,0.841721,jodie_rnn
23,data_parallel,3659.821,3790.377,130.556,0.348492,0.348492,0.725863,0.837507,jodie_rnn
11,data_parallel,1418.941,1526.11,107.169,0.557564,0.557564,0.91996,0.841721,jodie_rnn
24,data_parallel,3790.392,3914.724,124.332,0.403395,0.403395,0.823412,0.837507,jodie_rnn
12,data_parallel,1526.127,1652.649,126.522,0.396813,0.396813,0.741871,0.841721,jodie_rnn
25,data_parallel,3914.743,4042.653,127.91,0.462764,0.462764,0.896948,0.837507,jodie_rnn
13,data_parallel,1652.713,1853.026,200.313,0.553619,0.553619,0.883442,0.841721,jodie_rnn
26,data_parallel,4042.67,4175.288,132.617,0.74307,0.74307,0.952976,0.837507,jodie_rnn
27,data_parallel,4175.305,4295.187,119.883,0.57793,0.57793,0.92096,0.837507,jodie_rnn
14,data_parallel,1853.057,2005.097,152.04,0.540107,0.540107,0.869935,0.841721,jodie_rnn
28,data_parallel,4295.202,4408.504,113.302,0.119442,0.119442,0.357179,0.837507,jodie_rnn
15,data_parallel,2005.134,2180.574,175.44,0.119442,0.119442,0.357179,0.841721,jodie_rnn
29,data_parallel,4408.552,4571.507,162.954,0.50741,0.50741,0.886443,0.837507,jodie_rnn
16,data_parallel,2180.593,2294.531,113.939,0.303324,0.303324,0.692346,0.841721,jodie_rnn
30,data_parallel,4571.548,4678.765,107.217,0.339832,0.339832,0.749875,0.837507,jodie_rnn
17,data_parallel,2294.562,2467.133,172.571,0.733628,0.733628,0.949975,0.841721,jodie_rnn
