trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
20,pipeline,2143.601,2372.987,229.386,0.705035,0.705035,0.961481,0.737953,jodie_rnn
21,pipeline,2143.601,2372.987,229.386,0.430258,0.430258,0.801901,0.737953,jodie_rnn
0,pipeline,0.007,197.334,197.327,0.199486,0.199486,0.675338,0.199486,jodie_rnn
1,pipeline,0.007,197.334,197.327,0.126603,0.126603,0.298149,0.199486,jodie_rnn
22,pipeline,2373.002,2587.312,214.309,0.337348,0.337348,0.755378,0.737953,jodie_rnn
23,pipeline,2373.002,2587.312,214.309,0.126603,0.126603,0.298149,0.737953,jodie_rnn
2,pipeline,197.343,396.221,198.878,0.373108,0.373108,0.733867,0.373108,jodie_rnn
3,pipeline,197.343,396.221,198.878,0.225624,0.225624,0.703852,0.373108,jodie_rnn
24,pipeline,2587.32,2744.164,156.844,0.45822,0.45822,0.856428,0.737953,jodie_rnn
25,pipeline,2587.32,2744.164,156.844,0.650961,0.650961,0.935468,0.737953,jodie_rnn
4,pipeline,396.227,594.547,198.32,0.298887,0.298887,0.703852,0.373108,jodie_rnn
5,pipeline,396.227,594.547,198.32,0.126603,0.126603,0.298149,0.373108,jodie_rnn
26,pipeline,2744.172,2928.188,184.016,0.265194,0.265194,0.70035,0.737953,jodie_rnn
27,pipeline,2744.172,2928.188,184.016,0.273108,0.273108,0.638819,0.737953,jodie_rnn
6,pipeline,594.555,808.925,214.369,0.679053,0.679053,0.947974,0.679053,jodie_rnn
7,pipeline,594.555,808.925,214.369,0.508222,0.508222,0.875938,0.679053,jodie_rnn
28,pipeline,2928.207,3149.612,221.405,0.311919,0.311919,0.683842,0.737953,jodie_rnn
29,pipeline,2928.207,3149.612,221.405,0.586953,0.586953,0.916958,0.737953,jodie_rnn
8,pipeline,808.946,1058.952,250.007,0.405336,0.405336,0.763882,0.679053,jodie_rnn
9,pipeline,808.946,1058.952,250.007,0.67807,0.67807,0.958979,0.679053,jodie_rnn
30,pipeline,3149.627,3362.709,213.082,0.563407,0.563407,0.895448,0.737953,jodie_rnn
31,pipeline,3149.627,3362.709,213.082,0.342641,0.342641,0.724862,0.737953,jodie_rnn
10,pipeline,1058.96,1277.233,218.273,0.237918,0.237918,0.698349,0.679053,jodie_rnn
11,pipeline,1058.96,1277.233,218.273,0.661026,0.661026,0.943972,0.679053,jodie_rnn
32,pipeline,3362.723,3573.84,211.117,0.277783,0.277783,0.67934,0.737953,jodie_rnn
33,pipeline,3362.723,3573.84,211.117,0.629402,0.629402,0.903952,0.737953,jodie_rnn
12,pipeline,1277.243,1470.446,193.203,0.265785,0.265785,0.714857,0.679053,jodie_rnn
13,pipeline,1277.243,1470.446,193.203,0.305548,0.305548,0.703852,0.679053,jodie_rnn
34,pipeline,3573.872,3793.366,219.494,0.519224,0.519224,0.877439,0.737953,jodie_rnn
35,pipeline,3573.872,3793.366,219.494,0.126603,0.126603,0.298149,0.737953,jodie_rnn
14,pipeline,1470.46,1706.068,235.609,0.479445,0.479445,0.841921,0.679053,jodie_rnn
15,pipeline,1470.46,1706.068,235.609,0.307211,0.307211,0.716858,0.679053,jodie_rnn
36,pipeline,3793.392,3976.548,183.156,0.343316,0.343316,0.74087,0.737953,jodie_rnn
37,pipeline,3793.392,3976.548,183.156,0.337853,0.337853,0.725863,0.737953,jodie_rnn
16,pipeline,1706.078,1925.519,219.441,0.644568,0.644568,0.942471,0.679053,jodie_rnn
17,pipeline,1706.078,1925.519,219.441,0.737953,0.737953,0.931466,0.737953,jodie_rnn
38,pipeline,3976.573,4182.374,205.801,0.362399,0.362399,0.754377,0.737953,jodie_rnn
39,pipeline,3976.573,4182.374,205.801,0.588868,0.588868,0.949475,0.737953,jodie_rnn
18,pipeline,1925.526,2164.363,238.837,0.207251,0.207251,0.712356,0.737953,jodie_rnn
19,pipeline,1925.526,2164.363,238.837,0.440968,0.440968,0.813407,0.737953,jodie_rnn
40,pipeline,4182.389,4404.986,222.597,0.513952,0.513952,0.895948,0.737953,jodie_rnn
41,pipeline,4182.389,4404.986,222.597,0.26382,0.26382,0.665333,0.737953,jodie_rnn
42,pipeline,4405.006,4611.587,206.582,0.282188,0.282188,0.682341,0.737953,jodie_rnn
43,pipeline,4405.006,4611.587,206.582,0.210443,0.210443,0.684842,0.737953,jodie_rnn
20,pipeline,2164.385,2395.407,231.022,0.705035,0.705035,0.961481,0.737953,jodie_rnn
21,pipeline,2164.385,2395.407,231.022,0.430258,0.430258,0.801901,0.737953,jodie_rnn
22,pipeline,2395.421,2610.133,214.711,0.337348,0.337348,0.755378,0.737953,jodie_rnn
23,pipeline,2395.421,2610.133,214.711,0.126603,0.126603,0.298149,0.737953,jodie_rnn
44,pipeline,4611.606,4867.316,255.711,0.468772,0.468772,0.883442,0.737953,jodie_rnn
45,pipeline,4611.606,4867.316,255.711,0.644368,0.644368,0.922461,0.737953,jodie_rnn
24,pipeline,2610.14,2759.701,149.561,0.45822,0.45822,0.856428,0.737953,jodie_rnn
25,pipeline,2610.14,2759.701,149.561,0.650961,0.650961,0.935468,0.737953,jodie_rnn
46,pipeline,4867.363,5035.006,167.643,0.604861,0.604861,0.92096,0.737953,jodie_rnn
47,pipeline,4867.363,5035.006,167.643,0.126603,0.126603,0.298149,0.737953,jodie_rnn
26,pipeline,2759.708,2942.268,182.56,0.265194,0.265194,0.70035,0.737953,jodie_rnn
27,pipeline,2759.708,2942.268,182.56,0.273108,0.273108,0.638819,0.737953,jodie_rnn
48,pipeline,5035.025,5210.02,174.995,0.667354,0.667354,0.917959,0.737953,jodie_rnn
49,pipeline,5035.025,5210.02,174.995,0.219557,0.219557,0.707354,0.737953,jodie_rnn
28,pipeline,2942.287,3168.29,226.003,0.311919,0.311919,0.683842,0.737953,jodie_rnn
29,pipeline,2942.287,3168.29,226.003,0.586953,0.586953,0.916958,0.737953,jodie_rnn
30,pipeline,3168.303,3385.05,216.746,0.563407,0.563407,0.895448,0.737953,jodie_rnn
31,pipeline,3168.303,3385.05,216.746,0.342641,0.342641,0.724862,0.737953,jodie_rnn
32,pipeline,3385.065,3603.012,217.947,0.277783,0.277783,0.67934,0.737953,jodie_rnn
33,pipeline,3385.065,3603.012,217.947,0.629402,0.629402,0.903952,0.737953,jodie_rnn
34,pipeline,3603.04,3829.843,226.803,0.519224,0.519224,0.877439,0.737953,jodie_rnn
35,pipeline,3603.04,3829.843,226.803,0.126603,0.126603,0.298149,0.737953,jodie_rnn
36,pipeline,3829.866,4015.714,185.847,0.343316,0.343316,0.74087,0.737953,jodie_rnn
37,pipeline,3829.866,4015.714,185.847,0.337853,0.337853,0.725863,0.737953,jodie_rnn
38,pipeline,4015.745,4234.407,218.662,0.362399,0.362399,0.754377,0.737953,jodie_rnn
39,pipeline,4015.745,4234.407,218.662,0.588868,0.588868,0.949475,0.737953,jodie_rnn
40,pipeline,4234.423,4463.416,228.993,0.513952,0.513952,0.895948,0.737953,jodie_rnn
41,pipeline,4234.423,4463.416,228.993,0.26382,0.26382,0.665333,0.737953,jodie_rnn
42,pipeline,4463.437,4673.213,209.777,0.282188,0.282188,0.682341,0.737953,jodie_rnn
43,pipeline,4463.437,4673.213,209.777,0.210443,0.210443,0.684842,0.737953,jodie_rnn
44,pipeline,4673.238,4929.359,256.121,0.468772,0.468772,0.883442,0.737953,jodie_rnn
45,pipeline,4673.238,4929.359,256.121,0.644368,0.644368,0.922461,0.737953,jodie_rnn
46,pipeline,4929.404,5115.969,186.565,0.604861,0.604861,0.92096,0.737953,jodie_rnn
47,pipeline,4929.404,5115.969,186.565,0.126603,0.126603,0.298149,0.737953,jodie_rnn
48,pipeline,5115.989,5304.613,188.624,0.667354,0.667354,0.917959,0.737953,jodie_rnn
49,pipeline,5115.989,5304.613,188.624,0.219557,0.219557,0.707354,0.737953,jodie_rnn
