trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,6.962,64.348,57.386,0.342338,0.342338,0.732866,0.342338,jodie_rnn
1,pipeline_smart,6.949,69.699,62.75,0.281187,0.281187,0.698349,0.342338,jodie_rnn
2,pipeline_smart,6.971,77.828,70.856,0.366304,0.366304,0.774387,0.366304,jodie_rnn
3,pipeline_smart,77.853,121.237,43.384,0.410443,0.410443,0.837419,0.410443,jodie_rnn
4,pipeline_smart,6.973,121.461,114.488,0.699155,0.699155,0.902951,0.699155,jodie_rnn
5,pipeline_smart,69.713,129.295,59.581,0.363324,0.363324,0.606803,0.699155,jodie_rnn
6,pipeline_smart,121.259,159.161,37.902,0.404033,0.404033,0.834917,0.699155,jodie_rnn
7,pipeline_smart,121.497,170.591,49.094,0.276652,0.276652,0.692846,0.699155,jodie_rnn
8,pipeline_smart,129.327,177.201,47.874,0.340965,0.340965,0.790895,0.699155,jodie_rnn
9,pipeline_smart,159.199,224.356,65.157,0.532575,0.532575,0.89945,0.699155,jodie_rnn
10,pipeline_smart,177.216,226.829,49.613,0.29506,0.29506,0.716858,0.699155,jodie_rnn
11,pipeline_smart,170.614,235.157,64.542,0.407571,0.407571,0.82091,0.699155,jodie_rnn
12,pipeline_smart,224.413,274.681,50.268,0.126603,0.126603,0.298149,0.699155,jodie_rnn
13,pipeline_smart,226.845,280.019,53.174,0.126603,0.126603,0.298149,0.699155,jodie_rnn
14,pipeline_smart,235.18,291.089,55.909,0.285982,0.285982,0.735868,0.699155,jodie_rnn
15,pipeline_smart,280.073,323.27,43.197,0.307941,0.307941,0.770385,0.699155,jodie_rnn
16,pipeline_smart,274.691,333.929,59.239,0.699761,0.699761,0.931466,0.699761,jodie_rnn
17,pipeline_smart,291.097,337.522,46.425,0.62479,0.62479,0.886443,0.699761,jodie_rnn
18,pipeline_smart,323.305,363.402,40.097,0.385378,0.385378,0.802901,0.699761,jodie_rnn
19,pipeline_smart,337.563,386.7,49.137,0.292385,0.292385,0.712856,0.699761,jodie_rnn
20,pipeline_smart,333.987,393.131,59.144,0.320872,0.320872,0.744872,0.699761,jodie_rnn
21,pipeline_smart,363.416,416.432,53.017,0.603414,0.603414,0.892946,0.699761,jodie_rnn
22,pipeline_smart,386.718,437.601,50.883,0.290123,0.290123,0.753877,0.699761,jodie_rnn
23,pipeline_smart,393.152,439.216,46.065,0.722805,0.722805,0.936968,0.722805,jodie_rnn
24,pipeline_smart,416.455,463.044,46.589,0.344371,0.344371,0.763882,0.722805,jodie_rnn
25,pipeline_smart,437.637,485.676,48.039,0.307527,0.307527,0.70085,0.722805,jodie_rnn
26,pipeline_smart,439.236,495.852,56.615,0.357493,0.357493,0.752876,0.722805,jodie_rnn
27,pipeline_smart,463.067,527.206,64.139,0.545914,0.545914,0.876938,0.722805,jodie_rnn
28,pipeline_smart,495.871,533.51,37.639,0.830098,0.830098,0.982491,0.830098,jodie_rnn
29,pipeline_smart,485.702,546.134,60.432,0.481567,0.481567,0.878439,0.830098,jodie_rnn
30,pipeline_smart,533.527,571.949,38.423,0.421492,0.421492,0.855928,0.830098,jodie_rnn
31,pipeline_smart,527.234,592.487,65.254,0.636338,0.636338,0.851426,0.830098,jodie_rnn
32,pipeline_smart,546.166,595.67,49.503,0.582863,0.582863,0.895448,0.830098,jodie_rnn
33,pipeline_smart,571.961,617.798,45.836,0.645396,0.645396,0.902451,0.830098,jodie_rnn
34,pipeline_smart,592.508,646.494,53.986,0.273863,0.273863,0.651326,0.830098,jodie_rnn
35,pipeline_smart,595.729,659.68,63.951,0.602708,0.602708,0.929465,0.830098,jodie_rnn
36,pipeline_smart,617.83,680.695,62.865,0.64573,0.64573,0.905453,0.830098,jodie_rnn
37,pipeline_smart,646.503,688.693,42.189,0.300606,0.300606,0.78089,0.830098,jodie_rnn
38,pipeline_smart,659.71,711.073,51.363,0.273923,0.273923,0.693347,0.830098,jodie_rnn
39,pipeline_smart,680.71,724.97,44.261,0.126603,0.126603,0.298149,0.830098,jodie_rnn
40,pipeline_smart,688.707,751.844,63.137,0.424837,0.424837,0.841921,0.830098,jodie_rnn
41,pipeline_smart,711.123,767.003,55.88,0.629858,0.629858,0.974987,0.830098,jodie_rnn
42,pipeline_smart,724.996,771.545,46.548,0.249931,0.249931,0.664332,0.830098,jodie_rnn
43,pipeline_smart,751.892,797.849,45.957,0.579547,0.579547,0.91996,0.830098,jodie_rnn
44,pipeline_smart,767.049,812.815,45.766,0.126603,0.126603,0.298149,0.830098,jodie_rnn
45,pipeline_smart,771.608,838.847,67.239,0.554142,0.554142,0.89945,0.830098,jodie_rnn
46,pipeline_smart,797.871,850.965,53.094,0.318227,0.318227,0.727364,0.830098,jodie_rnn
47,pipeline_smart,812.827,856.516,43.689,0.126603,0.126603,0.298149,0.830098,jodie_rnn
48,pipeline_smart,838.909,885.404,46.495,0.385271,0.385271,0.810405,0.830098,jodie_rnn
49,pipeline_smart,851.007,911.511,60.504,0.501935,0.501935,0.922961,0.830098,jodie_rnn
