trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
15,serial,2306.586,2430.394,123.808,0.686066,0.686066,0.977489,0.686066,jodie_rnn
16,serial,2425.691,2573.989,148.297,0.295686,0.295686,0.748374,0.686066,jodie_rnn
0,serial,0.006,159.883,159.877,0.266948,0.266948,0.697349,0.266948,jodie_rnn
16,serial,2430.404,2579.399,148.995,0.295686,0.295686,0.748374,0.686066,jodie_rnn
1,serial,159.889,310.246,150.357,0.333756,0.333756,0.744372,0.333756,jodie_rnn
17,serial,2573.993,2750.798,176.805,0.300602,0.300602,0.717359,0.686066,jodie_rnn
17,serial,2579.404,2754.877,175.474,0.300602,0.300602,0.717359,0.686066,jodie_rnn
2,serial,310.25,459.454,149.204,0.323689,0.323689,0.71986,0.333756,jodie_rnn
18,serial,2750.805,2931.821,181.016,0.518648,0.518648,0.872436,0.686066,jodie_rnn
18,serial,2754.884,2936.426,181.542,0.518648,0.518648,0.872436,0.686066,jodie_rnn
3,serial,459.458,612.831,153.373,0.126603,0.126603,0.298149,0.333756,jodie_rnn
19,serial,2931.828,3086.229,154.4,0.341306,0.341306,0.738869,0.686066,jodie_rnn
19,serial,2936.437,3090.395,153.959,0.341306,0.341306,0.738869,0.686066,jodie_rnn
4,serial,612.835,771.565,158.731,0.310231,0.310231,0.741371,0.333756,jodie_rnn
20,serial,3086.233,3246.661,160.428,0.261006,0.261006,0.662331,0.686066,jodie_rnn
20,serial,3090.4,3249.292,158.892,0.261006,0.261006,0.662331,0.686066,jodie_rnn
5,serial,771.57,896.806,125.236,0.301656,0.301656,0.778889,0.333756,jodie_rnn
21,serial,3246.665,3434.94,188.274,0.684776,0.684776,0.951976,0.686066,jodie_rnn
21,serial,3249.296,3437.462,188.167,0.684776,0.684776,0.951976,0.686066,jodie_rnn
6,serial,896.81,1036.574,139.764,0.126603,0.126603,0.298149,0.333756,jodie_rnn
22,serial,3434.948,3577.433,142.485,0.4295,0.4295,0.816908,0.686066,jodie_rnn
22,serial,3437.469,3580.018,142.549,0.4295,0.4295,0.816908,0.686066,jodie_rnn
7,serial,1036.578,1170.105,133.527,0.497936,0.497936,0.875438,0.497936,jodie_rnn
23,serial,3577.437,3696.169,118.731,0.395736,0.395736,0.818409,0.686066,jodie_rnn
23,serial,3580.022,3698.928,118.906,0.395736,0.395736,0.818409,0.686066,jodie_rnn
8,serial,1170.109,1364.661,194.552,0.60962,0.60962,0.937969,0.60962,jodie_rnn
24,serial,3696.173,3855.372,159.199,0.295386,0.295386,0.755378,0.686066,jodie_rnn
24,serial,3698.932,3858.504,159.573,0.295386,0.295386,0.755378,0.686066,jodie_rnn
9,serial,1364.666,1557.947,193.281,0.533397,0.533397,0.901451,0.60962,jodie_rnn
25,serial,3855.376,4036.607,181.23,0.563792,0.563792,0.893447,0.686066,jodie_rnn
25,serial,3858.509,4040.416,181.907,0.563792,0.563792,0.893447,0.686066,jodie_rnn
10,serial,1557.952,1704.054,146.103,0.292331,0.292331,0.684842,0.60962,jodie_rnn
26,serial,4036.613,4177.141,140.528,0.126603,0.126603,0.298149,0.686066,jodie_rnn
26,serial,4040.422,4180.363,139.941,0.126603,0.126603,0.298149,0.686066,jodie_rnn
11,serial,1704.059,1858.154,154.096,0.590172,0.590172,0.872936,0.60962,jodie_rnn
27,serial,4177.148,4365.742,188.595,0.611767,0.611767,0.901451,0.686066,jodie_rnn
27,serial,4180.37,4367.488,187.118,0.611767,0.611767,0.901451,0.686066,jodie_rnn
12,serial,1858.158,2043.187,185.029,0.535317,0.535317,0.897449,0.60962,jodie_rnn
28,serial,4365.746,4493.142,127.396,0.305679,0.305679,0.785893,0.686066,jodie_rnn
28,serial,4367.493,4492.847,125.355,0.305679,0.305679,0.785893,0.686066,jodie_rnn
13,serial,2043.191,2217.364,174.173,0.352894,0.352894,0.778389,0.60962,jodie_rnn
29,serial,4493.146,4647.405,154.259,0.126603,0.126603,0.298149,0.686066,jodie_rnn
29,serial,4492.852,4646.873,154.021,0.126603,0.126603,0.298149,0.686066,jodie_rnn
