trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,data_parallel,0.028,109.466,109.438,0.079168,0.079168,0.205103,0.079168,temporal_event_gnn_jodie
1,data_parallel,109.482,218.425,108.943,0.149945,0.149945,0.455228,0.149945,temporal_event_gnn_jodie
2,data_parallel,218.446,335.087,116.641,0.309882,0.309882,0.728364,0.309882,jodie_rnn
3,data_parallel,335.11,442.456,107.345,0.161758,0.161758,0.468734,0.309882,temporal_event_gnn_jodie
4,data_parallel,442.481,559.774,117.292,0.423618,0.423618,0.804402,0.423618,jodie_rnn
5,data_parallel,559.802,667.552,107.75,0.411103,0.411103,0.847924,0.423618,jodie_rnn
6,data_parallel,667.576,776.787,109.21,0.119442,0.119442,0.357179,0.423618,jodie_rnn
7,data_parallel,776.805,914.634,137.828,0.411539,0.411539,0.833917,0.423618,jodie_rnn
8,data_parallel,914.65,1034.257,119.607,0.360678,0.360678,0.713357,0.423618,jodie_rnn
9,data_parallel,1034.285,1123.634,89.35,0.26458,0.26458,0.724362,0.423618,temporal_event_gnn_jodie
10,data_parallel,1123.653,1227.691,104.038,0.186753,0.186753,0.584292,0.423618,temporal_event_gnn_jodie
11,data_parallel,1227.714,1321.169,93.454,0.165444,0.165444,0.524262,0.423618,temporal_event_gnn_jodie
12,data_parallel,1321.195,1416.219,95.024,0.263809,0.263809,0.706853,0.423618,temporal_event_gnn_jodie
13,data_parallel,1416.247,1497.436,81.189,0.268839,0.268839,0.72036,0.423618,temporal_event_gnn_jodie
14,data_parallel,1497.462,1618.504,121.042,0.086272,0.086272,0.225613,0.423618,temporal_event_gnn_jodie
15,data_parallel,1618.52,1706.179,87.659,0.076267,0.076267,0.202601,0.423618,temporal_event_gnn_jodie
16,data_parallel,1706.196,1814.319,108.124,0.395042,0.395042,0.807904,0.423618,jodie_rnn
17,data_parallel,1814.341,1921.265,106.924,0.385582,0.385582,0.762381,0.423618,jodie_rnn
18,data_parallel,1921.318,2033.945,112.627,0.313056,0.313056,0.729365,0.423618,jodie_rnn
19,data_parallel,2033.971,2121.593,87.623,0.083455,0.083455,0.210105,0.423618,temporal_event_gnn_jodie
20,data_parallel,2121.611,2211.569,89.957,0.268866,0.268866,0.717359,0.423618,temporal_event_gnn_jodie
21,data_parallel,2211.591,2291.851,80.26,0.234603,0.234603,0.686343,0.423618,temporal_event_gnn_jodie
22,data_parallel,2291.864,2391.511,99.647,0.340961,0.340961,0.725863,0.423618,jodie_rnn
23,data_parallel,2391.53,2498.956,107.425,0.189665,0.189665,0.624812,0.423618,temporal_event_gnn_jodie
24,data_parallel,2498.975,2584.398,85.423,0.306059,0.306059,0.66033,0.423618,jodie_rnn
25,data_parallel,2584.433,2701.151,116.718,0.471359,0.471359,0.831916,0.471359,jodie_rnn
26,data_parallel,2701.181,2826.491,125.309,0.632365,0.632365,0.935968,0.632365,jodie_rnn
