trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.013,124.715,124.702,0.075732,0.075732,0.189095,0.075732,temporal_event_gnn_jodie
1,serial,124.729,186.375,61.646,0.07754,0.07754,0.202101,0.07754,temporal_event_gnn_jodie
2,serial,186.382,254.224,67.842,0.215343,0.215343,0.624812,0.215343,jodie_rnn
3,serial,254.231,316.03,61.799,0.240286,0.240286,0.604302,0.240286,jodie_rnn
4,serial,316.038,406.787,90.749,0.191211,0.191211,0.603302,0.240286,temporal_event_gnn_jodie
5,serial,406.795,469.158,62.363,0.076751,0.076751,0.203102,0.240286,temporal_event_gnn_jodie
6,serial,469.166,618.939,149.773,0.076899,0.076899,0.192596,0.240286,temporal_event_gnn_jodie
7,serial,618.95,673.496,54.546,0.259008,0.259008,0.703852,0.259008,jodie_rnn
8,serial,673.503,747.305,73.801,0.17773,0.17773,0.508254,0.259008,jodie_rnn
9,serial,747.312,827.302,79.99,0.135457,0.135457,0.475738,0.259008,jodie_rnn
10,serial,827.309,909.732,82.423,0.17314,0.17314,0.511256,0.259008,jodie_rnn
11,serial,909.74,986.892,77.152,0.236333,0.236333,0.672336,0.259008,temporal_event_gnn_jodie
12,serial,986.9,1116.101,129.201,0.18696,0.18696,0.597299,0.259008,temporal_event_gnn_jodie
13,serial,1116.109,1192.415,76.306,0.285221,0.285221,0.631316,0.285221,jodie_rnn
14,serial,1192.435,1296.088,103.653,0.18218,0.18218,0.590295,0.285221,temporal_event_gnn_jodie
15,serial,1296.099,1352.266,56.167,0.202016,0.202016,0.569785,0.285221,jodie_rnn
16,serial,1352.275,1408.697,56.422,0.228781,0.228781,0.632816,0.285221,jodie_rnn
17,serial,1408.707,1471.673,62.966,0.197628,0.197628,0.584292,0.285221,jodie_rnn
18,serial,1471.68,1591.952,120.272,0.132571,0.132571,0.541271,0.285221,temporal_event_gnn_jodie
19,serial,1591.96,1679.655,87.695,0.181126,0.181126,0.586793,0.285221,temporal_event_gnn_jodie
20,serial,1679.666,1786.261,106.595,0.179386,0.179386,0.561781,0.285221,temporal_event_gnn_jodie
21,serial,1786.267,1849.515,63.247,0.126603,0.126603,0.298149,0.285221,jodie_rnn
22,serial,1849.524,1931.439,81.915,0.200182,0.200182,0.568284,0.285221,jodie_rnn
23,serial,1931.448,2053.373,121.925,0.076013,0.076013,0.204602,0.285221,temporal_event_gnn_jodie
24,serial,2053.381,2198.135,144.754,0.120896,0.120896,0.463232,0.285221,temporal_event_gnn_jodie
25,serial,2198.143,2267.672,69.529,0.126603,0.126603,0.298149,0.285221,jodie_rnn
26,serial,2267.684,2345.221,77.537,0.239556,0.239556,0.564282,0.285221,jodie_rnn
