trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.007,119.87,119.863,0.077194,0.077194,0.195598,0.077194,temporal_event_gnn_jodie
1,serial,119.894,189.461,69.567,0.078359,0.078359,0.196098,0.078359,temporal_event_gnn_jodie
2,serial,189.469,329.105,139.636,0.345993,0.345993,0.797899,0.345993,jodie_rnn
3,serial,329.115,434.065,104.95,0.740521,0.740521,0.974487,0.740521,jodie_rnn
4,serial,434.074,531.47,97.396,0.170862,0.170862,0.605803,0.740521,temporal_event_gnn_jodie
5,serial,531.477,609.824,78.346,0.076635,0.076635,0.210105,0.740521,temporal_event_gnn_jodie
6,serial,609.834,766.152,156.318,0.084637,0.084637,0.223612,0.740521,temporal_event_gnn_jodie
7,serial,766.159,859.207,93.047,0.432261,0.432261,0.862931,0.740521,jodie_rnn
8,serial,859.214,1014.319,155.104,0.418053,0.418053,0.790895,0.740521,jodie_rnn
9,serial,1014.326,1184.153,169.826,0.612409,0.612409,0.895448,0.740521,jodie_rnn
10,serial,1184.162,1351.22,167.058,0.413203,0.413203,0.832916,0.740521,jodie_rnn
11,serial,1351.227,1434.79,83.562,0.234165,0.234165,0.671336,0.740521,temporal_event_gnn_jodie
12,serial,1434.797,1552.943,118.145,0.211154,0.211154,0.636818,0.740521,temporal_event_gnn_jodie
13,serial,1552.95,1738.953,186.003,0.585255,0.585255,0.877939,0.740521,jodie_rnn
14,serial,1738.961,1835.392,96.432,0.202086,0.202086,0.584792,0.740521,temporal_event_gnn_jodie
15,serial,1835.399,1919.811,84.412,0.798618,0.798618,0.98099,0.798618,jodie_rnn
16,serial,1919.82,2039.883,120.063,0.381788,0.381788,0.810905,0.798618,jodie_rnn
17,serial,2039.891,2144.023,104.132,0.314209,0.314209,0.76088,0.798618,jodie_rnn
18,serial,2144.03,2263.691,119.661,0.170096,0.170096,0.546273,0.798618,temporal_event_gnn_jodie
19,serial,2263.702,2356.213,92.512,0.183828,0.183828,0.627814,0.798618,temporal_event_gnn_jodie
20,serial,2356.224,2476.02,119.796,0.190965,0.190965,0.62081,0.798618,temporal_event_gnn_jodie
21,serial,2476.027,2580.7,104.672,0.126603,0.126603,0.298149,0.798618,jodie_rnn
22,serial,2580.707,2751.541,170.834,0.601881,0.601881,0.963982,0.798618,jodie_rnn
23,serial,2751.549,2870.485,118.936,0.078071,0.078071,0.213607,0.798618,temporal_event_gnn_jodie
24,serial,2870.494,3026.912,156.417,0.233121,0.233121,0.644822,0.798618,temporal_event_gnn_jodie
25,serial,3026.919,3148.24,121.32,0.126603,0.126603,0.298149,0.798618,jodie_rnn
26,serial,3148.252,3294.764,146.512,0.658706,0.658706,0.936468,0.798618,jodie_rnn
