trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.007,128.202,128.195,0.075732,0.075732,0.189095,0.075732,temporal_event_gnn_jodie
1,serial,128.216,187.013,58.796,0.07754,0.07754,0.202101,0.07754,temporal_event_gnn_jodie
2,serial,187.02,257.043,70.023,0.215343,0.215343,0.624812,0.215343,jodie_rnn
3,serial,257.05,319.897,62.848,0.240286,0.240286,0.604302,0.240286,jodie_rnn
4,serial,319.904,413.18,93.277,0.191211,0.191211,0.603302,0.240286,temporal_event_gnn_jodie
5,serial,413.187,481.176,67.99,0.076751,0.076751,0.203102,0.240286,temporal_event_gnn_jodie
6,serial,481.184,628.274,147.09,0.076899,0.076899,0.192596,0.240286,temporal_event_gnn_jodie
7,serial,628.283,685.581,57.298,0.259008,0.259008,0.703852,0.259008,jodie_rnn
8,serial,685.59,760.539,74.949,0.17773,0.17773,0.508254,0.259008,jodie_rnn
9,serial,760.547,844.072,83.525,0.135457,0.135457,0.475738,0.259008,jodie_rnn
10,serial,844.079,926.203,82.124,0.17314,0.17314,0.511256,0.259008,jodie_rnn
11,serial,926.21,1003.939,77.728,0.236333,0.236333,0.672336,0.259008,temporal_event_gnn_jodie
12,serial,1003.949,1132.695,128.746,0.18696,0.18696,0.597299,0.259008,temporal_event_gnn_jodie
13,serial,1132.703,1222.106,89.403,0.285221,0.285221,0.631316,0.285221,jodie_rnn
14,serial,1222.119,1322.043,99.924,0.18218,0.18218,0.590295,0.285221,temporal_event_gnn_jodie
15,serial,1322.05,1375.763,53.713,0.202016,0.202016,0.569785,0.285221,jodie_rnn
16,serial,1375.769,1436.207,60.438,0.228781,0.228781,0.632816,0.285221,jodie_rnn
17,serial,1436.215,1504.343,68.128,0.197628,0.197628,0.584292,0.285221,jodie_rnn
18,serial,1504.35,1625.665,121.315,0.132571,0.132571,0.541271,0.285221,temporal_event_gnn_jodie
19,serial,1625.674,1715.271,89.597,0.181126,0.181126,0.586793,0.285221,temporal_event_gnn_jodie
20,serial,1715.282,1827.75,112.467,0.179386,0.179386,0.561781,0.285221,temporal_event_gnn_jodie
21,serial,1827.757,1889.113,61.356,0.126603,0.126603,0.298149,0.285221,jodie_rnn
22,serial,1889.129,1971.072,81.943,0.200182,0.200182,0.568284,0.285221,jodie_rnn
23,serial,1971.08,2086.278,115.198,0.076013,0.076013,0.204602,0.285221,temporal_event_gnn_jodie
24,serial,2086.286,2240.649,154.363,0.120896,0.120896,0.463232,0.285221,temporal_event_gnn_jodie
25,serial,2240.666,2312.377,71.711,0.126603,0.126603,0.298149,0.285221,jodie_rnn
26,serial,2312.399,2389.307,76.908,0.239556,0.239556,0.564282,0.285221,jodie_rnn
