trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.006,104.956,104.95,0.077194,0.077194,0.195598,0.077194,temporal_event_gnn_jodie
1,serial,104.964,165.744,60.78,0.078359,0.078359,0.196098,0.078359,temporal_event_gnn_jodie
2,serial,165.751,308.429,142.677,0.345993,0.345993,0.797899,0.345993,jodie_rnn
3,serial,308.436,424.88,116.444,0.740521,0.740521,0.974487,0.740521,jodie_rnn
4,serial,424.887,510.662,85.775,0.170862,0.170862,0.605803,0.740521,temporal_event_gnn_jodie
5,serial,510.669,578.002,67.332,0.076635,0.076635,0.210105,0.740521,temporal_event_gnn_jodie
6,serial,578.009,715.332,137.323,0.084637,0.084637,0.223612,0.740521,temporal_event_gnn_jodie
7,serial,715.339,797.99,82.652,0.432261,0.432261,0.862931,0.740521,jodie_rnn
8,serial,797.998,962.545,164.548,0.418053,0.418053,0.790895,0.740521,jodie_rnn
9,serial,962.552,1140.834,178.281,0.612409,0.612409,0.895448,0.740521,jodie_rnn
10,serial,1140.841,1320.603,179.762,0.413203,0.413203,0.832916,0.740521,jodie_rnn
11,serial,1320.611,1395.458,74.847,0.234165,0.234165,0.671336,0.740521,temporal_event_gnn_jodie
12,serial,1395.465,1504.502,109.037,0.211154,0.211154,0.636818,0.740521,temporal_event_gnn_jodie
13,serial,1504.509,1677.364,172.855,0.585255,0.585255,0.877939,0.740521,jodie_rnn
14,serial,1677.372,1774.994,97.621,0.202086,0.202086,0.584792,0.740521,temporal_event_gnn_jodie
15,serial,1775.001,1871.369,96.369,0.798618,0.798618,0.98099,0.798618,jodie_rnn
16,serial,1871.377,1995.559,124.183,0.381788,0.381788,0.810905,0.798618,jodie_rnn
17,serial,1995.568,2098.676,103.108,0.314209,0.314209,0.76088,0.798618,jodie_rnn
18,serial,2098.683,2204.437,105.754,0.170096,0.170096,0.546273,0.798618,temporal_event_gnn_jodie
19,serial,2204.444,2297.692,93.248,0.183828,0.183828,0.627814,0.798618,temporal_event_gnn_jodie
20,serial,2297.703,2401.031,103.328,0.190965,0.190965,0.62081,0.798618,temporal_event_gnn_jodie
21,serial,2401.038,2520.788,119.749,0.126603,0.126603,0.298149,0.798618,jodie_rnn
22,serial,2520.795,2709.993,189.198,0.601881,0.601881,0.963982,0.798618,jodie_rnn
23,serial,2710.002,2820.495,110.493,0.078071,0.078071,0.213607,0.798618,temporal_event_gnn_jodie
24,serial,2820.502,2959.385,138.883,0.233121,0.233121,0.644822,0.798618,temporal_event_gnn_jodie
25,serial,2959.393,3086.371,126.978,0.126603,0.126603,0.298149,0.798618,jodie_rnn
26,serial,3086.386,3239.093,152.708,0.658706,0.658706,0.936468,0.798618,jodie_rnn
