trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.007,115.419,115.412,0.075732,0.075732,0.189095,0.075732,temporal_event_gnn_jodie
1,serial,115.427,180.207,64.78,0.07754,0.07754,0.202101,0.07754,temporal_event_gnn_jodie
2,serial,180.216,246.634,66.418,0.215343,0.215343,0.624812,0.215343,jodie_rnn
3,serial,246.641,304.495,57.854,0.240286,0.240286,0.604302,0.240286,jodie_rnn
4,serial,304.502,400.03,95.528,0.191211,0.191211,0.603302,0.240286,temporal_event_gnn_jodie
5,serial,400.037,459.365,59.328,0.076751,0.076751,0.203102,0.240286,temporal_event_gnn_jodie
6,serial,459.372,606.046,146.674,0.076899,0.076899,0.192596,0.240286,temporal_event_gnn_jodie
7,serial,606.054,658.647,52.593,0.259008,0.259008,0.703852,0.259008,jodie_rnn
8,serial,658.655,728.61,69.955,0.17773,0.17773,0.508254,0.259008,jodie_rnn
9,serial,728.617,810.047,81.43,0.135457,0.135457,0.475738,0.259008,jodie_rnn
10,serial,810.054,890.586,80.532,0.17314,0.17314,0.511256,0.259008,jodie_rnn
11,serial,890.603,964.322,73.719,0.236333,0.236333,0.672336,0.259008,temporal_event_gnn_jodie
12,serial,964.33,1087.859,123.529,0.18696,0.18696,0.597299,0.259008,temporal_event_gnn_jodie
13,serial,1087.866,1166.29,78.424,0.285221,0.285221,0.631316,0.285221,jodie_rnn
14,serial,1166.298,1266.357,100.059,0.18218,0.18218,0.590295,0.285221,temporal_event_gnn_jodie
15,serial,1266.364,1318.623,52.259,0.202016,0.202016,0.569785,0.285221,jodie_rnn
16,serial,1318.63,1379.414,60.784,0.228781,0.228781,0.632816,0.285221,jodie_rnn
17,serial,1379.424,1438.997,59.573,0.197628,0.197628,0.584292,0.285221,jodie_rnn
18,serial,1439.005,1561.358,122.354,0.132571,0.132571,0.541271,0.285221,temporal_event_gnn_jodie
19,serial,1561.373,1652.959,91.586,0.181126,0.181126,0.586793,0.285221,temporal_event_gnn_jodie
20,serial,1652.972,1761.797,108.824,0.179386,0.179386,0.561781,0.285221,temporal_event_gnn_jodie
21,serial,1761.804,1825.355,63.552,0.126603,0.126603,0.298149,0.285221,jodie_rnn
22,serial,1825.364,1908.306,82.942,0.200182,0.200182,0.568284,0.285221,jodie_rnn
23,serial,1908.313,2026.598,118.285,0.076013,0.076013,0.204602,0.285221,temporal_event_gnn_jodie
24,serial,2026.606,2173.435,146.829,0.120896,0.120896,0.463232,0.285221,temporal_event_gnn_jodie
25,serial,2173.442,2240.219,66.776,0.126603,0.126603,0.298149,0.285221,jodie_rnn
26,serial,2240.231,2310.263,70.032,0.239556,0.239556,0.564282,0.285221,jodie_rnn
