trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,serial,0.011,121.402,121.391,0.077194,0.077194,0.195598,0.077194,temporal_event_gnn_jodie
1,serial,121.41,189.033,67.623,0.078359,0.078359,0.196098,0.078359,temporal_event_gnn_jodie
2,serial,189.041,317.628,128.588,0.345993,0.345993,0.797899,0.345993,jodie_rnn
3,serial,317.638,422.72,105.083,0.740521,0.740521,0.974487,0.740521,jodie_rnn
4,serial,422.728,521.03,98.302,0.170862,0.170862,0.605803,0.740521,temporal_event_gnn_jodie
5,serial,521.056,601.797,80.741,0.076635,0.076635,0.210105,0.740521,temporal_event_gnn_jodie
6,serial,601.805,757.041,155.237,0.084637,0.084637,0.223612,0.740521,temporal_event_gnn_jodie
7,serial,757.049,844.582,87.533,0.432261,0.432261,0.862931,0.740521,jodie_rnn
8,serial,844.592,989.077,144.485,0.418053,0.418053,0.790895,0.740521,jodie_rnn
9,serial,989.085,1155.504,166.419,0.612409,0.612409,0.895448,0.740521,jodie_rnn
10,serial,1155.521,1320.38,164.859,0.413203,0.413203,0.832916,0.740521,jodie_rnn
11,serial,1320.388,1408.476,88.088,0.234165,0.234165,0.671336,0.740521,temporal_event_gnn_jodie
12,serial,1408.484,1540.917,132.433,0.211154,0.211154,0.636818,0.740521,temporal_event_gnn_jodie
13,serial,1540.926,1708.478,167.552,0.585255,0.585255,0.877939,0.740521,jodie_rnn
14,serial,1708.489,1820.193,111.704,0.202086,0.202086,0.584792,0.740521,temporal_event_gnn_jodie
15,serial,1820.202,1905.122,84.92,0.798618,0.798618,0.98099,0.798618,jodie_rnn
16,serial,1905.128,2008.137,103.009,0.381788,0.381788,0.810905,0.798618,jodie_rnn
17,serial,2008.145,2114.434,106.29,0.314209,0.314209,0.76088,0.798618,jodie_rnn
18,serial,2114.446,2233.514,119.068,0.170096,0.170096,0.546273,0.798618,temporal_event_gnn_jodie
19,serial,2233.522,2328.651,95.128,0.183828,0.183828,0.627814,0.798618,temporal_event_gnn_jodie
20,serial,2328.663,2438.502,109.84,0.190965,0.190965,0.62081,0.798618,temporal_event_gnn_jodie
21,serial,2438.509,2539.084,100.575,0.126603,0.126603,0.298149,0.798618,jodie_rnn
22,serial,2539.093,2707.425,168.333,0.601881,0.601881,0.963982,0.798618,jodie_rnn
23,serial,2707.433,2824.359,116.926,0.078071,0.078071,0.213607,0.798618,temporal_event_gnn_jodie
24,serial,2824.365,2980.207,155.842,0.233121,0.233121,0.644822,0.798618,temporal_event_gnn_jodie
25,serial,2980.216,3100.996,120.78,0.126603,0.126603,0.298149,0.798618,jodie_rnn
26,serial,3101.009,3255.928,154.919,0.658706,0.658706,0.936468,0.798618,jodie_rnn
