trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,6.567,67.585,61.018,0.63698,0.63698,0.956478,0.63698,jodie_rnn
1,pipeline_smart,6.58,73.226,66.646,0.600242,0.600242,0.893447,0.63698,jodie_rnn
2,pipeline_smart,6.642,77.229,70.587,0.644065,0.644065,0.935968,0.644065,jodie_rnn
3,pipeline_smart,73.262,119.489,46.227,0.126603,0.126603,0.298149,0.644065,jodie_rnn
4,pipeline_smart,6.61,120.015,113.405,0.329801,0.329801,0.738369,0.644065,jodie_rnn
5,pipeline_smart,77.256,120.367,43.11,0.280932,0.280932,0.691846,0.644065,jodie_rnn
6,pipeline_smart,120.384,153.437,33.054,0.328426,0.328426,0.769385,0.644065,jodie_rnn
7,pipeline_smart,119.541,162.876,43.336,0.287433,0.287433,0.691346,0.644065,jodie_rnn
8,pipeline_smart,120.034,167.559,47.525,0.290992,0.290992,0.688844,0.644065,jodie_rnn
9,pipeline_smart,162.902,210.692,47.791,0.331673,0.331673,0.710855,0.644065,jodie_rnn
10,pipeline_smart,167.573,210.926,43.354,0.28015,0.28015,0.692346,0.644065,jodie_rnn
11,pipeline_smart,153.486,214.874,61.388,0.671488,0.671488,0.937469,0.671488,jodie_rnn
12,pipeline_smart,210.719,250.41,39.69,0.126603,0.126603,0.298149,0.671488,jodie_rnn
13,pipeline_smart,210.947,252.052,41.105,0.691271,0.691271,0.925963,0.691271,jodie_rnn
14,pipeline_smart,214.901,254.606,39.705,0.615931,0.615931,0.916458,0.691271,jodie_rnn
15,pipeline_smart,252.084,307.879,55.795,0.490808,0.490808,0.887444,0.691271,jodie_rnn
16,pipeline_smart,250.478,312.669,62.19,0.536334,0.536334,0.91946,0.691271,jodie_rnn
17,pipeline_smart,254.628,335.874,81.246,0.706611,0.706611,0.963982,0.706611,jodie_rnn
18,pipeline_smart,312.692,353.261,40.57,0.344003,0.344003,0.775388,0.706611,jodie_rnn
19,pipeline_smart,307.921,353.509,45.588,0.653662,0.653662,0.923462,0.706611,jodie_rnn
20,pipeline_smart,353.525,393.318,39.792,0.552885,0.552885,0.912956,0.706611,jodie_rnn
21,pipeline_smart,335.904,397.029,61.125,0.370682,0.370682,0.743372,0.706611,jodie_rnn
22,pipeline_smart,353.29,415.642,62.352,0.48475,0.48475,0.882441,0.706611,jodie_rnn
23,pipeline_smart,393.354,429.074,35.72,0.304724,0.304724,0.78089,0.706611,jodie_rnn
24,pipeline_smart,397.054,429.958,32.903,0.699938,0.699938,0.976488,0.706611,jodie_rnn
25,pipeline_smart,429.093,470.067,40.974,0.635554,0.635554,0.898949,0.706611,jodie_rnn
26,pipeline_smart,415.662,470.658,54.995,0.561949,0.561949,0.907454,0.706611,jodie_rnn
