rank,phase,eval_split,score,val_score,test_score,mrr,recall_at_k,params,time_sec,model,config_json
1,rerank_pipeline,val,0.4336920142948696,0.4336920142948696,,0.4336920142948696,0.7747747747747747,81792,24.2098,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
2,coarse_pipeline,val,0.42078879232732036,0.42078879232732036,,0.42078879232732036,0.7967967967967968,319232,16.0422,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
3,coarse_pipeline,val,0.41102675134752903,0.41102675134752903,,0.41102675134752903,0.7477477477477478,81792,17.7302,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
4,rerank_pipeline,val,0.3892006224006571,0.3892006224006571,,0.3892006224006571,0.7857857857857858,319232,24.2098,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 128, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
5,coarse_pipeline,val,0.3810274122666627,0.3810274122666627,,0.3810274122666627,0.7557557557557557,81792,16.1367,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
6,rerank_pipeline,val,0.3730799273798933,0.3730799273798933,,0.3730799273798933,0.7757757757757757,81792,24.2098,jodie_rnn,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""jodie_rnn"", ""embedding_dim"": 64, ""hidden_dim"": 0, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 0, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
7,coarse_pipeline,val,0.25496215769263647,0.25496215769263647,,0.25496215769263647,0.7017017017017017,43873,16.1367,temporal_event_gnn_jodie,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 32, ""hidden_dim"": 128, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 10, ""memory_cell"": ""lstm"", ""time_proj"": ""off"", ""memory_gate"": ""on"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""on""}"
8,coarse_pipeline,val,0.25198334853047666,0.25198334853047666,,0.25198334853047666,0.7297297297297297,48577,17.3467,temporal_event_gnn_jodie,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 32, ""hidden_dim"": 256, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 10, ""memory_cell"": ""gru"", ""time_proj"": ""off"", ""memory_gate"": ""off"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""off""}"
9,rerank_pipeline,val,0.25192014407700736,0.25192014407700736,,0.25192014407700736,0.7407407407407407,67265,24.2098,temporal_event_gnn_jodie,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 64, ""hidden_dim"": 128, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 20, ""memory_cell"": ""rnn"", ""time_proj"": ""off"", ""memory_gate"": ""on"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""peer"", ""msg_linear"": ""on""}"
10,coarse_pipeline,val,0.2511040244141384,0.2511040244141384,,0.2511040244141384,0.6986986986986987,37665,17.7302,temporal_event_gnn_jodie,"{""dataset"": ""public_csv"", ""dataset_dir"": ""data/public"", ""local_data_path"": ""data/public/mooc.csv"", ""train_ratio"": 0.7, ""val_ratio"": 0.1, ""max_events"": 10000, ""num_users"": 851, ""num_items"": 21, ""num_interactions"": 3000, ""feature_dim"": 8, ""lr"": 0.0003, ""neg_sample_size"": 5, ""k"": 10, ""selection_metric"": ""mrr"", ""seed"": 42, ""partition_size"": 256, ""partition_strategy"": ""count"", ""num_pipeline_stages"": 2, ""pipeline_worker_gpus"": 0.0, ""pipeline_worker_cpus"": 2.0, ""pipeline_stage_train_workers"": ""2,1"", ""pipeline_stage_eval_workers"": ""1,1"", ""stage_balance_strategy"": ""cost"", ""stage_balance_user_weight"": 0.25, ""stage_balance_item_weight"": 0.25, ""stage_balance_span_weight"": 0.0, ""ray_address"": """", ""pipeline_trace"": true, ""pipeline_trace_log_path"": ""outputs_mooc_pipeline_small\\pipeline_trace_20260424_144921.log"", ""output_dir"": ""outputs_mooc_pipeline_small"", ""model"": ""temporal_event_gnn_jodie"", ""embedding_dim"": 32, ""hidden_dim"": 64, ""event_agg"": ""none"", ""agg_activation"": ""none"", ""attn_type"": ""dot"", ""time_decay"": ""none"", ""max_neighbors"": 10, ""memory_cell"": ""lstm"", ""time_proj"": ""mlp"", ""memory_gate"": ""on"", ""enable_event_agg"": ""off"", ""enable_graph_update"": ""off"", ""message_mode"": ""agg"", ""msg_linear"": ""off""}"
