trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline_smart,12.239,214.253,202.014,0.548458,0.548458,0.911456,0.548458,jodie_rnn
1,pipeline_smart,12.142,224.807,212.666,0.536189,0.536189,0.912956,0.548458,jodie_rnn
2,pipeline_smart,12.285,348.258,335.973,0.791246,0.791246,0.978989,0.791246,jodie_rnn
3,pipeline_smart,11.921,399.52,387.599,0.667758,0.667758,0.906953,0.791246,jodie_rnn
4,pipeline_smart,12.415,425.636,413.221,0.546427,0.546427,0.90095,0.791246,jodie_rnn
5,pipeline_smart,12.484,503.805,491.321,0.449487,0.449487,0.805403,0.791246,jodie_rnn
6,pipeline_smart,12.784,585.881,573.097,0.271874,0.271874,0.717359,0.791246,jodie_rnn
7,pipeline_smart,503.983,646.145,142.162,0.323375,0.323375,0.77939,0.791246,jodie_rnn
8,pipeline_smart,585.998,739.969,153.97,0.366075,0.366075,0.763382,0.791246,jodie_rnn
9,pipeline_smart,12.598,804.199,791.601,0.320198,0.320198,0.778389,0.791246,jodie_rnn
10,pipeline_smart,646.253,830.918,184.665,0.586813,0.586813,0.868934,0.791246,jodie_rnn
11,pipeline_smart,740.179,913.46,173.281,0.583304,0.583304,0.945473,0.791246,jodie_rnn
12,pipeline_smart,831.021,1034.204,203.183,0.381761,0.381761,0.767384,0.791246,jodie_rnn
13,pipeline_smart,913.604,1130.397,216.793,0.663216,0.663216,0.916458,0.791246,jodie_rnn
14,pipeline_smart,804.359,1174.386,370.026,0.126603,0.126603,0.298149,0.791246,jodie_rnn
15,pipeline_smart,1034.391,1225.757,191.365,0.359562,0.359562,0.812406,0.791246,jodie_rnn
16,pipeline_smart,1130.598,1286.432,155.835,0.303414,0.303414,0.710855,0.791246,jodie_rnn
17,pipeline_smart,1286.547,1444.038,157.491,0.331427,0.331427,0.743372,0.791246,jodie_rnn
18,pipeline_smart,1225.853,1454.298,228.445,0.688586,0.688586,0.905453,0.791246,jodie_rnn
19,pipeline_smart,1454.382,1593.872,139.49,0.487899,0.487899,0.874437,0.791246,jodie_rnn
20,pipeline_smart,1444.3,1607.495,163.194,0.395942,0.395942,0.753377,0.791246,jodie_rnn
21,pipeline_smart,1174.483,1664.552,490.069,0.568774,0.568774,0.947474,0.791246,jodie_rnn
22,pipeline_smart,1594.009,1763.004,168.996,0.60612,0.60612,0.917959,0.791246,jodie_rnn
23,pipeline_smart,1607.647,1766.968,159.32,0.308121,0.308121,0.756878,0.791246,jodie_rnn
24,pipeline_smart,1763.117,1937.862,174.745,0.126603,0.126603,0.298149,0.791246,jodie_rnn
25,pipeline_smart,1767.177,2001.031,233.854,0.464984,0.464984,0.844422,0.791246,jodie_rnn
26,pipeline_smart,1664.716,2048.88,384.164,0.605623,0.605623,0.885943,0.791246,jodie_rnn
27,pipeline_smart,1938.017,2157.136,219.119,0.703442,0.703442,0.953477,0.791246,jodie_rnn
28,pipeline_smart,2001.197,2177.518,176.32,0.476965,0.476965,0.793897,0.791246,jodie_rnn
29,pipeline_smart,2157.282,2306.723,149.441,0.310199,0.310199,0.795398,0.791246,jodie_rnn
30,pipeline_smart,2177.592,2375.205,197.613,0.449693,0.449693,0.835418,0.791246,jodie_rnn
31,pipeline_smart,2049.081,2463.12,414.038,0.379423,0.379423,0.777389,0.791246,jodie_rnn
32,pipeline_smart,2306.804,2471.454,164.65,0.355981,0.355981,0.769885,0.791246,jodie_rnn
33,pipeline_smart,2375.288,2505.446,130.158,0.696935,0.696935,0.931966,0.791246,jodie_rnn
34,pipeline_smart,2471.61,2613.167,141.557,0.647381,0.647381,0.96098,0.791246,jodie_rnn
35,pipeline_smart,2505.559,2656.738,151.179,0.666274,0.666274,0.904452,0.791246,jodie_rnn
36,pipeline_smart,2613.36,2775.484,162.125,0.268761,0.268761,0.703352,0.791246,jodie_rnn
37,pipeline_smart,2656.852,2789.03,132.178,0.126603,0.126603,0.298149,0.791246,jodie_rnn
38,pipeline_smart,2463.235,2815.932,352.697,0.469067,0.469067,0.854427,0.791246,jodie_rnn
39,pipeline_smart,2775.572,2953.996,178.424,0.613208,0.613208,0.901951,0.791246,jodie_rnn
40,pipeline_smart,2789.175,2956.937,167.762,0.707176,0.707176,0.95998,0.791246,jodie_rnn
41,pipeline_smart,2957.19,3115.974,158.784,0.31877,0.31877,0.728364,0.791246,jodie_rnn
42,pipeline_smart,2954.19,3125.192,171.001,0.593511,0.593511,0.925463,0.791246,jodie_rnn
43,pipeline_smart,2816.04,3206.582,390.542,0.425546,0.425546,0.791896,0.791246,jodie_rnn
44,pipeline_smart,3116.151,3298.777,182.626,0.477673,0.477673,0.850425,0.791246,jodie_rnn
45,pipeline_smart,3125.273,3306.534,181.261,0.324061,0.324061,0.735368,0.791246,jodie_rnn
46,pipeline_smart,3299.052,3442.63,143.578,0.381313,0.381313,0.755878,0.791246,jodie_rnn
47,pipeline_smart,3306.666,3461.373,154.707,0.126603,0.126603,0.298149,0.791246,jodie_rnn
48,pipeline_smart,3206.712,3558.193,351.482,0.342305,0.342305,0.716358,0.791246,jodie_rnn
49,pipeline_smart,3442.706,3576.619,133.913,0.700685,0.700685,0.966483,0.791246,jodie_rnn
