trial_id,mode,start_time_s,end_time_s,duration_s,score,mrr,recall_at_k,cumulative_best_score,model
0,pipeline,0.015,1460.605,1460.591,0.792945,0.792945,0.950475,0.792945,jodie_rnn
1,pipeline,0.015,1460.605,1460.591,0.27573,0.27573,0.57929,0.792945,jodie_rnn
2,pipeline,0.015,1460.605,1460.591,0.737882,0.737882,0.933967,0.792945,jodie_rnn
3,pipeline,0.015,1460.605,1460.591,0.236337,0.236337,0.728864,0.792945,jodie_rnn
4,pipeline,1460.635,2865.305,1404.67,0.382811,0.382811,0.733867,0.792945,jodie_rnn
5,pipeline,1460.635,2865.305,1404.67,0.545005,0.545005,0.885943,0.792945,jodie_rnn
6,pipeline,1460.635,2865.305,1404.67,0.547235,0.547235,0.930965,0.792945,jodie_rnn
7,pipeline,1460.635,2865.305,1404.67,0.351993,0.351993,0.703352,0.792945,jodie_rnn
8,pipeline,2865.336,3664.614,799.278,0.43768,0.43768,0.786893,0.792945,jodie_rnn
9,pipeline,2865.336,3664.614,799.278,0.559843,0.559843,0.884942,0.792945,jodie_rnn
10,pipeline,2865.336,3664.614,799.278,0.418889,0.418889,0.730865,0.792945,jodie_rnn
11,pipeline,2865.336,3664.614,799.278,0.753719,0.753719,0.951976,0.792945,jodie_rnn
12,pipeline,3664.649,5487.464,1822.815,0.910758,0.910758,1.0,0.910758,jodie_rnn
13,pipeline,3664.649,5487.464,1822.815,0.321543,0.321543,0.643822,0.910758,jodie_rnn
14,pipeline,3664.649,5487.464,1822.815,0.445683,0.445683,0.783892,0.910758,jodie_rnn
15,pipeline,3664.649,5487.464,1822.815,0.126603,0.126603,0.298149,0.910758,jodie_rnn
16,pipeline,5487.492,6063.798,576.307,0.757746,0.757746,0.985993,0.910758,jodie_rnn
17,pipeline,5487.492,6063.798,576.307,0.549709,0.549709,0.901951,0.910758,jodie_rnn
18,pipeline,5487.492,6063.798,576.307,0.632675,0.632675,0.945473,0.910758,jodie_rnn
19,pipeline,5487.492,6063.798,576.307,0.63288,0.63288,0.915958,0.910758,jodie_rnn
20,pipeline,6063.863,6920.125,856.262,0.126603,0.126603,0.298149,0.910758,jodie_rnn
21,pipeline,6063.863,6920.125,856.262,0.736021,0.736021,0.952476,0.910758,jodie_rnn
22,pipeline,6063.863,6920.125,856.262,0.777916,0.777916,0.995998,0.910758,jodie_rnn
23,pipeline,6063.863,6920.125,856.262,0.542529,0.542529,0.875938,0.910758,jodie_rnn
24,pipeline,6920.152,8255.46,1335.308,0.333233,0.333233,0.669835,0.910758,jodie_rnn
25,pipeline,6920.152,8255.46,1335.308,0.34639,0.34639,0.645323,0.910758,jodie_rnn
26,pipeline,6920.152,8255.46,1335.308,0.318419,0.318419,0.623812,0.910758,jodie_rnn
27,pipeline,6920.152,8255.46,1335.308,0.408783,0.408783,0.847424,0.910758,jodie_rnn
28,pipeline,8255.549,9307.872,1052.323,0.49295,0.49295,0.866433,0.910758,jodie_rnn
29,pipeline,8255.549,9307.872,1052.323,0.668588,0.668588,0.932466,0.910758,jodie_rnn
30,pipeline,8255.549,9307.872,1052.323,0.469395,0.469395,0.854427,0.910758,jodie_rnn
31,pipeline,8255.549,9307.872,1052.323,0.343379,0.343379,0.692346,0.910758,jodie_rnn
32,pipeline,9307.907,10361.507,1053.6,0.701992,0.701992,0.94047,0.910758,jodie_rnn
33,pipeline,9307.907,10361.507,1053.6,0.477012,0.477012,0.789895,0.910758,jodie_rnn
34,pipeline,9307.907,10361.507,1053.6,0.344018,0.344018,0.677839,0.910758,jodie_rnn
35,pipeline,9307.907,10361.507,1053.6,0.918848,0.918848,1.0,0.918848,jodie_rnn
36,pipeline,10361.565,11179.008,817.443,0.88001,0.88001,0.987494,0.918848,jodie_rnn
37,pipeline,10361.565,11179.008,817.443,0.85852,0.85852,0.995998,0.918848,jodie_rnn
38,pipeline,10361.565,11179.008,817.443,0.730205,0.730205,0.988494,0.918848,jodie_rnn
39,pipeline,10361.565,11179.008,817.443,0.486771,0.486771,0.782391,0.918848,jodie_rnn
40,pipeline,11179.16,11787.866,608.705,0.126603,0.126603,0.298149,0.918848,jodie_rnn
41,pipeline,11179.16,11787.866,608.705,0.281463,0.281463,0.57979,0.918848,jodie_rnn
42,pipeline,11179.16,11787.866,608.705,0.487908,0.487908,0.944972,0.918848,jodie_rnn
43,pipeline,11179.16,11787.866,608.705,0.387473,0.387473,0.758379,0.918848,jodie_rnn
44,pipeline,11787.903,12962.104,1174.201,0.421801,0.421801,0.825413,0.918848,jodie_rnn
45,pipeline,11787.903,12962.104,1174.201,0.456729,0.456729,0.757879,0.918848,jodie_rnn
46,pipeline,11787.903,12962.104,1174.201,0.676364,0.676364,0.937969,0.918848,jodie_rnn
47,pipeline,11787.903,12962.104,1174.201,0.499088,0.499088,0.89995,0.918848,jodie_rnn
48,pipeline,12962.131,13476.32,514.189,0.235668,0.235668,0.687344,0.918848,jodie_rnn
49,pipeline,12962.131,13476.32,514.189,0.364369,0.364369,0.74037,0.918848,jodie_rnn
